Unnamed:_0,Qubit,T1_us,T2_us,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,_x_sx_error_,P_Value,Zero,One,Quality,abs,P_Value_pred,RSE
0,0,237.363640207058,60.47969240018557,0.033203125,0.0283203125,0.0380859375,0.0001734065740478,2.357861867801558e-10,29224,30776,0,1552,0.12685330571347786,0.016091761110616557
1,0,296.01266422162377,55.66947962356316,0.0612,0.0154,0.107,0.0003337185574513,1.537603367769484e-31,28569,31431,0,2862,0.10182995576292238,0.010369339890678729
2,1,158.45256790461264,306.6382369930084,0.02490234375,0.01611328125,0.03369140625,7.17078124105e-05,1.5286075931341484e-08,29307,30693,0,1386,0.1343008393031788,0.018036711331672832
3,1,293.0859541650365,218.02048857758984,0.0686999999999999,0.032,0.1054,0.0001579015360847,0.0015785484205704,29613,30387,0,774,0.09524110562013821,0.008772674621162312
4,2,227.8750927230388,267.9119653614913,0.014892578125,0.0166015625,0.01318359375,0.0003293684085777,0.0011890601080095,29603,30397,0,794,0.1430825006720757,0.020133748475108185
5,2,350.1354184440218,292.3047007446352,0.0073999999999999,0.0098,0.005,0.0001769940778522,0.1309111278962907,30185,29815,1,370,0.14983663592950347,0.0003581748543152012
6,3,366.2675928480455,391.6436882299018,0.023681640625,0.00927734375,0.0380859375,0.0001072344262964,2.055005147476426e-40,28370,31630,0,3260,0.13536962375944228,0.01832493503677296
7,3,319.62785360958446,402.8027065495856,0.027,0.015,0.039,0.0007942618639421,3.0773367969767872e-24,28756,31244,0,2488,0.1320538131348513,0.017438209563454224
8,4,172.24369977361226,171.70368343098505,0.015625,0.0126953125,0.0185546875,0.0001072341151506,0.0412268333371637,29750,30250,1,500,0.14254641241340835,0.01026565710418739
9,4,350.8736869408533,252.53745354181584,0.0343,0.0482,0.0204,0.0006255546447642,1.0,30000,30000,1,0,0.1256393974353497,0.7645064633172184
10,5,225.67540407570323,220.38074977243463,0.009033203125,0.00537109375,0.0126953125,8.96154926666e-05,0.3957942459142299,30104,29896,1,208,0.14842755835811447,0.061190278112484835
