Unnamed:_0,Qubit,T1_us,T2_us,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,_x_sx_error_,P_Value,Zero,One,Quality,abs,P_Value_pred,RSE
0,0,237.363640207058,60.47969240018557,0.033203125,0.0283203125,0.0380859375,0.0001734065740478,0.000935430138908,9766,10234,0,468,0.16627958406057347,0.027338689236071398
1,0,296.01266422162377,55.66947962356316,0.0612,0.0154,0.107,0.0003337185574513,1.6822129623482768e-25,9262,10738,0,1476,0.1417003145105497,0.020078979132388704
2,1,158.45256790461264,306.6382369930084,0.02490234375,0.01611328125,0.03369140625,7.17078124105e-05,9.735916112767389e-08,9623,10377,0,754,0.1815891892998182,0.032974598311832415
3,1,293.0859541650365,218.02048857758984,0.0686999999999999,0.032,0.1054,0.0001579015360847,0.0001006219221196,9725,10275,0,550,0.13735255786516049,0.018838093920112597
4,2,227.8750927230388,267.9119653614913,0.014892578125,0.0166015625,0.01318359375,0.0003293684085777,0.734299941046208,9976,10024,1,48,0.1790187126826676,0.30833724257292233
5,2,350.1354184440218,292.3047007446352,0.0073999999999999,0.0098,0.005,0.0001769940778522,0.6007940159570008,10037,9963,1,74,0.1712999960175345,0.18446511316376263
6,3,366.2675928480455,391.6436882299018,0.023681640625,0.00927734375,0.0380859375,0.0001072344262964,1.8972996328718544e-15,9438,10562,0,1124,0.1595368918232447,0.02545201985262108
7,3,319.62785360958446,402.8027065495856,0.027,0.015,0.039,0.0007942618639421,1.4179260654592346e-06,9659,10341,0,682,0.16089536565968915,0.025886862417310034
8,4,172.24369977361226,171.70368343098505,0.015625,0.0126953125,0.0185546875,0.0001072341151506,0.0245379841783323,9841,10159,1,318,0.18574937825664073,0.025989113580671658
9,4,350.8736869408533,252.53745354181584,0.0343,0.0482,0.0204,0.0006255546447642,0.5337748847220425,10044,9956,1,88,0.15352700111323866,0.1445884529889744
10,5,225.67540407570323,220.38074977243463,0.009033203125,0.00537109375,0.0126953125,8.96154926666e-05,0.7557040884008713,10022,9978,1,44,0.1832788595653461,0.3276706426074035
11,5,90.67182520176674,132.42551394672216,0.007,0.0098,0.0042,0.0003683814200176,0.1231968980624617,9891,10109,1,218,0.20016483378135366,0.005924063128827485
12,6,223.59246244380788,83.15010574387493,0.018798828125,0.025390625,0.01220703125,0.0002654272281749,0.0003462860151351,9747,10253,0,506,0.1770898805207816,0.031238298198776396
13,6,127.79422205260616,69.26538338139814,0.0089,0.008,0.0098,0.0002681680629049,0.179109192726722,10095,9905,1,190,0.19542475429985273,0.00026619754944662055
14,7,291.9011229003346,317.71290492372606,0.0189,0.0194,0.0184,0.0005264943040941,0.0023613929626746,9785,10215,0,430,0.1690985746237505,0.027801287748278624
15,7,305.1706883653607,263.1396460704861,0.009521484375,0.0087890625,0.01025390625,0.0002545484611121,0.0092640524466373,9816,10184,0,368,0.1740453156775381,0.027152864711971415
16,8,263.8408658169988,177.76473334811678,0.0174999999999999,0.0068,0.0282,0.0001646276217161,0.9887165844441504,9999,10001,1,2,0.1733430999566205,0.6648339192053363
17,8,326.53473998060616,243.50256007339945,0.010498046875,0.0107421875,0.01025390625,0.0001774487344584,0.0155929924551316,10171,9829,1,342,0.1714387606691513,0.024287903470217958
18,9,296.85016432205566,142.871476085231,0.0050999999999999,0.0036,0.0066,0.0001317819105984,0.0104754553780556,9819,10181,1,362,0.17783734832828405,0.02801000321188372
19,9,406.53941390709633,173.71557353229463,0.008056640625,0.00732421875,0.0087890625,0.0001318647973293,0.0016920516349352,9778,10222,0,444,0.16637845453441916,0.027121611299971163
20,10,362.2952834896347,239.4031000915961,0.0151,0.01,0.0202,0.0001022018257282,0.2578990352923396,10080,9920,1,160,0.16538543160907093,0.0085587668664649
21,10,170.16594938485383,222.03664718935835,0.02197265625,0.01806640625,0.02587890625,0.0001214329576312,0.0118258040702316,9822,10178,1,356,0.181925818756156,0.028934014996151693
22,11,205.7224190331731,434.74928590199846,0.15966796875,0.15185546875,0.16748046875,0.0001759860271404,1.0188244933541122e-08,9595,10405,0,810,0.08891720175497578,0.007906266956114712
