Unnamed:_0,Qubit,T1_us,T2_us,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,_x_sx_error_,P_Value,Zero,One,Quality,abs,P_Value_pred,RSE
0,0,384.8077310067106,486.23766078571145,0.0027,0.0044,0.001,0.0001327268526847,0.0089806712418988,30320,29680,0,640,0.0822622469251061,0.005370189334613639
1,0,232.3192603398693,323.0582975949717,0.005126953125,0.00634765625,0.00390625,0.0001991776765114,0.0820105416336192,30213,29787,1,426,0.08241196831595289,1.6114338128943e-07
2,1,460.1554823065436,171.8701412459624,0.0057,0.0086,0.0028,0.0004009879300176,1.206435163089384e-05,30536,29464,0,1072,0.08166813946371825,0.006667714602710851
3,1,521.0552804202151,130.86193138748442,0.015869140625,0.01123046875,0.0205078125,0.000190538039894,0.7133031738784577,29955,30045,1,90,0.0846995248431234,0.39514254758053774
4,2,297.6389408350375,149.38970812380646,0.0046,0.0064,0.0028,0.0003890796801494,0.0011890601080095,30397,29603,0,794,0.08217287908352343,0.006558378935858811
5,2,272.73794752613907,142.77383610540738,0.01171875,0.009765625,0.013671875,0.000131907626893,0.0012954016599891,29606,30394,0,788,0.08363238544538001,0.0067793788988757256
6,3,211.62128005649924,146.72567571405563,0.0062999999999999,0.0076,0.005,0.0001635116734481,0.3823081571552292,30107,29893,1,214,0.08234916100147889,0.0899753993735656
7,3,249.63594857402217,142.13468228326232,0.00634765625,0.0048828125,0.0078125,9.24995750204e-05,0.0087684086017947,30321,29679,0,642,0.0835498798842698,0.005592268447171648
8,4,110.63914548442315,119.10729897263316,0.0653,0.0712,0.0594,0.0004795380529602,2.973477147502343e-32,31448,28552,0,2896,0.07892429627392647,0.006229044542334524
9,4,541.8192633031138,227.85974291043976,0.084716796875,0.06982421875,0.099609375,0.0005581641294551,9.009429711644779e-30,28612,31388,0,2776,0.08749372418504053,0.007655151771767947
10,5,445.07588572049497,440.3779108063197,0.0127,0.0094,0.016,0.0002193882350308,0.055013832353979,30235,29765,1,470,0.08419416441088402,0.0008514917789512391
11,5,438.15356415087024,442.81284248188086,0.016357421875,0.0244140625,0.00830078125,0.0001755001441622,0.0005527870245165,30423,29577,0,846,0.0791691114284908,0.006180526462790925
12,6,274.93909720509214,147.01187276966468,0.0163999999999999,0.0304,0.0024,0.000415818029972,5.212430513980893e-06,30558,29442,0,1116,0.07658452060603987,0.005864390440642167
13,6,372.895847892788,185.4006400646429,0.0126953125,0.0087890625,0.0166015625,9.25519982097e-05,0.0529784062634977,30237,29763,1,474,0.08445781288383554,0.0009909530411685698
14,7,410.7681347984127,363.2063834652582,0.005126953125,0.00390625,0.00634765625,9.83143923442e-05,0.4774858652667186,29913,30087,1,174,0.08347324101842796,0.15524594806702469
15,7,287.7388438890699,157.7930903066063,0.0427999999999999,0.024,0.0616,0.000321030620219,2.82134106863843e-08,30680,29320,0,1360,0.09020484982759583,0.008136909842446962
16,8,423.20033408167046,316.26113499159607,0.15283203125,0.263671875,0.0419921875,0.057518967321455,2.1429988623011947e-26,31302,28698,0,2604,0.031192727041739917,0.0009729862203004927
17,8,454.8924923762133,297.7769648588041,0.0449,0.0586,0.0312,0.0007063328010428,2.6658455143148426e-30,31401,28599,0,2802,0.0760264581203806,0.005780022334329985
18,9,454.1564258582864,376.3262951626362,0.01416015625,0.017578125,0.0107421875,0.0001416230256928,0.0195340079215622,30286,29714,1,572,0.08123860869112358,0.0038074577561309545
19,9,118.37388492679776,159.05165351485545,0.0178,0.0314,0.0042,0.0003092412718703,3.2361004548521275e-10,30770,29230,0,1540,0.0767245798643686,0.005886661105706187
20,10,233.4033388653241,78.30533009331471,0.011962890625,0.01123046875,0.0126953125,0.000149263231242,0.4624327264504763,29910,30090,1,180,0.08309585141326134,0.1438964647629996
21,10,296.817946413255,84.01668052014429,0.0047,0.006,0.0034,0.0001695320061317,0.0560557472418856,29766,30234,1,468,0.08238781204290141,0.0006933776366848959
22,11,145.4709866714758,179.5609297415617,0.0194999999999999,0.0178,0.0212,0.0007792412915607,0.0015785484205704,30387,29613,0,774,0.08333438180654412,0.006684016292635096
23,11,242.6215792943725,220.72528313966023,0.004638671875,0.005859375,0.00341796875,0.0002078364101893,5.4187484152015535e-06,30557,29443,0,1114,0.08242376367771513,0.00679278358088506
24,12,420.3339076984881,320.3019685662814,0.0193999999999999,0.0164,0.0224,0.0003009248493459,0.0560557472418856,29766,30234,1,468,0.08390190398524695,0.000775408445375849
25,12,378.7884970988112,378.8805089027159,0.017822265625,0.0146484375,0.02099609375,0.0001044694326597,4.3940403693750094e-12,29152,30848,0,1696,0.08401557977458933,0.007058617644122048
26,13,269.3716591911651,86.06568861150538,0.0234999999999999,0.0324,0.0146,0.0001718197335038,0.624206114766406,30060,29940,1,120,0.07862996283428957,0.29765333755705575
27,13,446.8310757521897,91.48537843271934,0.0263671875,0.0224609375,0.0302734375,0.0002448923424111,0.0529784062634977,29763,30237,1,474,0.08412754275449237,0.0009702687041346157
28,14,381.364641319099,353.08039047033486,0.0042999999999999,0.0058,0.0028,9.86243916207e-05,0.0519845269346612,30238,29762,1,476,0.08231053534347034,0.0009196667860111627
29,14,277.3241490267648,330.23714298621314,0.005126953125,0.0068359375,0.00341796875,0.0001521463069938,0.0454552948490585,30245,29755,1,490,0.08219971377545787,0.0013501523222387366
30,15,380.5148007759491,70.9926395505747,0.0263671875,0.0146484375,0.0380859375,0.0005410877531115,0.00056976027172,30422,29578,0,844,0.08752361540241257,0.007560972922089472
31,15,351.40390800435887,66.71791674174106,0.0537999999999999,0.0594,0.0482,0.0005933173513627,0.6299956425486466,29941,30059,1,118,0.0793325098238313,0.3032298857423075
32,16,321.5433335740062,110.69141580900484,0.0143999999999999,0.0258,0.003,0.0001677639083568,1.8078115827543667e-10,30781,29219,0,1562,0.07776304738504593,0.006047091510492712
33,16,421.7006835936474,127.82068064772756,0.03125,0.0224609375,0.0400390625,0.0001224419363492,0.0014508616333606,29610,30390,0,780,0.08613213454181994,0.0071709179813969695
34,17,413.9342007875416,69.63560089463772,0.058837890625,0.0634765625,0.05419921875,0.0003925617269211,0.0957825432836284,30204,29796,1,408,0.07962869673863959,0.0002609467581990467
35,17,319.23929768270386,53.07364689001495,0.0840999999999999,0.0684,0.0998,0.0009645795234531,0.010353340365105,29686,30314,1,628,0.08785960819418122,0.006007221552792494
36,18,253.64926408586183,46.74275835758955,0.004,0.0056,0.0024,0.0001865333712593,0.1227874631446709,29811,30189,1,378,0.08227431268384364,0.0016413153602616282
37,18,433.1155608043481,49.28161580992735,0.005126953125,0.00830078125,0.001953125,0.0002011995683007,0.0006621477217548,30417,29583,0,834,0.08156295015397283,0.006544939834176775
38,19,333.4311638524518,214.7167540188217,0.036376953125,0.03466796875,0.0380859375,0.0002530893888037,0.0217700932183542,29719,30281,1,562,0.08293059240613856,0.003740606660898972
39,19,377.9497975617496,248.63158659548463,0.0249,0.0328,0.017,0.0002305068238674,1.600394846217534e-09,30739,29261,0,1478,0.07903084047197859,0.006245873492746232
40,20,499.33639789182257,482.8878544435456,0.038,0.0656,0.0104,0.0001311830987886,6.2895148869822e-70,32165,27835,0,4330,0.07015084828133575,0.0049211415145909865
