Date,Backend,JobID,Shots,Alpha,Qubit,P_Value,Zero,One,Quality
2025-03-06,ibm_brisbane,cz4qarb1xvhg008e8430,100000,0.01,0,7.09771094558308e-19,48597,51403,0
2025-03-06,ibm_brisbane,cz4qarb1xvhg008e8430,100000,0.01,1,4.633915978541896e-16,48716,51284,0
2025-03-06,ibm_brisbane,cz4qarb1xvhg008e8430,100000,0.01,2,0.007608597969898084,49578,50422,0
2025-03-06,ibm_brisbane,cz4qarb1xvhg008e8430,100000,0.01,3,3.2227783257366223e-62,47368,52632,0
2025-03-06,ibm_brisbane,cz4qarb1xvhg008e8430,100000,0.01,4,1.3022057338271945e-08,49101,50899,0
2025-03-06,ibm_brisbane,cz4qarb1xvhg008e8430,100000,0.01,5,0.015692917587807952,49618,50382,1
2025-03-06,ibm_brisbane,cz4qarb1xvhg008e8430,100000,0.01,6,3.79796105080211e-15,48757,51243,0
2025-03-06,ibm_brisbane,cz4qarb1xvhg008e8430,100000,0.01,7,1.0762488968726963e-26,48309,51691,0
2025-03-06,ibm_brisbane,cz4qarb1xvhg008e8430,100000,0.01,8,9.284205373418152e-05,50618,49382,0
2025-03-06,ibm_brisbane,cz4qarb1xvhg008e8430,100000,0.01,9,2.0670432939541987e-14,48791,51209,0
2025-03-06,ibm_brisbane,cz4qarb1xvhg008e8430,100000,0.01,10,4.038489096187809e-13,48853,51147,0
2025-03-06,ibm_brisbane,cz4qarb1xvhg008e8430,100000,0.01,11,3.1897667377752364e-26,48325,51675,0
2025-03-06,ibm_brisbane,cz4qarb1xvhg008e8430,100000,0.01,12,0.49058634913285465,49891,50109,1
2025-03-06,ibm_brisbane,cz4qarb1xvhg008e8430,100000,0.01,13,0.9395029022523566,50012,49988,1
2025-03-06,ibm_brisbane,cz4qarb1xvhg008e8430,100000,0.01,14,0.06478045929338876,50292,49708,1
2025-03-06,ibm_brisbane,cz4qarb1xvhg008e8430,100000,0.01,15,0.05066721518760016,49691,50309,1
2025-03-06,ibm_brisbane,cz4qarb1xvhg008e8430,100000,0.01,16,6.657102867235742e-43,47829,52171,0
2025-03-06,ibm_brisbane,cz4qarb1xvhg008e8430,100000,0.01,17,4.516129903709268e-14,48807,51193,0
