Date,Backend,JobID,Shots,Alpha,Qubit,P_Value,Zero,One,Quality
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,0,1.572832296627208e-21,19047,20953,0
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,1,1.1632970564123223e-14,19228,20772,0
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,2,0.00853848681817871,19737,20263,0
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,3,1.0670673966145645e-24,18974,21026,0
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,4,1.7867311825654013e-05,19571,20429,0
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,5,0.7188471335640175,19964,20036,1
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,6,1.2983912857226726e-06,19516,20484,0
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,7,1.079270634405846e-12,19288,20712,0
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,8,0.841480581121794,20020,19980,1
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,9,1.3006244401985606e-05,19564,20436,0
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,10,2.8687491688402734e-06,19532,20468,0
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,11,4.102664821545218e-09,19412,20588,0
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,12,0.05360683775410994,19807,20193,1
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,13,0.8886599903881871,19986,20014,1
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,14,2.1435180516621936e-08,20560,19440,0
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,15,7.306057605498524e-18,19139,20861,0
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,16,1.3721054503204063e-22,19022,20978,0
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,17,0.0001230343103665107,19616,20384,0
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,18,1.586656303951195e-06,19520,20480,0
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,19,0.5551906495069299,19941,20059,1
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,20,1.548976648191428e-40,18667,21333,0
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,21,0.0384523444550346,19793,20207,1
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,22,0.02574744287720405,19777,20223,1
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,23,0.1868350179869436,19868,20132,1
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,24,0.0,14352,25648,0
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,25,6.713351630897229e-43,18627,21373,0
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,26,4.192564780367417e-07,20506,19494,0
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,27,0.12356035342362379,19846,20154,1
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,28,1.4058086301135133e-56,18415,21585,0
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,29,3.788723990110659e-05,19588,20412,0
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,30,0.44129989268529923,19923,20077,1
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,31,0.13361440253771617,19850,20150,1
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,32,0.025090922871893143,19776,20224,1
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,33,2.0442690367968174e-05,19574,20426,0
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,34,2.877677276315184e-13,19270,20730,0
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,35,2.035543582859252e-22,19026,20974,0
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,36,0.0054358898454025225,19722,20278,0
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,37,0.04550026389635844,19800,20200,1
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,38,0.11183480503893889,20159,19841,1
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,39,4.398265760928501e-11,19341,20659,0
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,40,0.2584762244800357,19887,20113,1
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,41,8.924344907803225e-09,19425,20575,0
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,42,0.8571525681981986,19982,20018,1
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,43,0.0001768345704016081,19625,20375,0
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,44,0.22246487489566924,19878,20122,1
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,45,1.0825087815407715e-05,20440,19560,0
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,46,0.0019352064264367124,20310,19690,0
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,47,0.7039454151516744,20038,19962,1
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,48,0.05485789940767367,19808,20192,1
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,49,2.897421786050171e-07,19487,20513,0
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,50,1.700501643095016e-08,20564,19436,0
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,51,0.036617799703317966,20209,19791,1
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,52,1.1712033413096968e-13,20742,19258,0
2025-03-06,ibm_brisbane,cz4q8fs10wx0008bg8n0,40000,0.01,53,1.4484583410275316e-09,19395,20605,0
