Date,Backend,JobID,Shots,Alpha,Qubit,P_Value,Zero,One,Quality
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,0,2.357861867801558e-10,29224,30776,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,1,1.5286075931341484e-08,29307,30693,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,2,0.0011890601080095313,29603,30397,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,3,2.0550051474764265e-40,28370,31630,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,4,0.04122683333716371,29750,30250,1
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,5,0.39579424591422996,30104,29896,1
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,6,0.9154676606038382,29987,30013,1
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,7,7.068422414432333e-10,29245,30755,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,8,0.38230815715522926,30107,29893,1
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,9,4.684202866901967e-13,29114,30886,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,10,2.365991577161564e-06,29422,30578,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,11,2.000857690475852e-14,29063,30937,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,12,0.30743416592739536,29875,30125,1
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,13,0.09742084103137626,29797,30203,1
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,14,2.420033149881505e-14,30934,29066,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,15,0.00035959291653261575,29563,30437,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,16,1.867677067913164e-16,28992,31008,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,17,1.5892456659212687e-07,29358,30642,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,18,9.042597375757584e-13,29125,30875,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,19,0.2922124123991713,29871,30129,1
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,20,4.6960021461203515e-49,28197,31803,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,21,1.7276575394566001e-29,31381,28619,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,22,0.0021996470611130602,29625,30375,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,23,0.0003947108348987905,29566,30434,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,24,0.0,22695,37305,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,25,3.029518592021848e-63,27944,32056,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,26,2.035735841512247e-11,30821,29179,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,27,0.01463348780926634,30299,29701,1
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,28,4.286931865927963e-108,27295,32705,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,29,0.0049734523070653755,29656,30344,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,30,0.019964453305216057,29715,30285,1
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,31,0.5242112626098553,29922,30078,1
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,32,7.49471215832936e-05,29515,30485,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,33,0.004377794897102618,29651,30349,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,34,2.5158268914427473e-09,29270,30730,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,35,1.6204695160007836e-23,28776,31224,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,36,0.0020262533159349024,29622,30378,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,37,0.024744672046398977,29725,30275,1
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,38,0.4049425798656493,30102,29898,1
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,39,3.6044650558109e-05,29494,30506,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,40,0.743971478075057,30040,29960,1
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,41,1.2013836213975172e-14,29055,30945,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,42,0.373475941597332,29891,30109,1
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,43,8.502101111638023e-07,29397,30603,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,44,0.1998778570618575,29843,30157,1
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,45,0.011636686045865114,30309,29691,1
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,46,6.085664972832942e-06,30554,29446,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,47,0.06381828186212403,29773,30227,1
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,48,0.006389394714376645,29666,30334,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,49,0.13300578467725027,29816,30184,1
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,50,7.503986177006622e-19,31086,28914,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,51,0.5566144941345784,30072,29928,1
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,52,1.5383725817281414e-17,31044,28956,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,53,4.4105842721718467e-13,29113,30887,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,54,1.7625444016933208e-08,29310,30690,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,55,4.637639970592665e-06,29439,30561,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,56,1.5787535120817147e-06,30588,29412,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,57,1.1192498127237642e-05,30538,29462,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,58,1.0748393479507248e-15,29018,30982,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,59,4.133127588214581e-09,29280,30720,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,60,4.2120013150767323e-16,29004,30996,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,61,0.016372693080655292,30294,29706,1
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,62,0.20275746632025254,29844,30156,1
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,63,0.6652013506383532,30053,29947,1
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,64,0.1041991713321835,30199,29801,1
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,65,0.05100629262555142,29761,30239,1
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,66,0.4236142498089224,30098,29902,1
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,67,0.6474999265698191,29944,30056,1
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,68,5.975564950261243e-135,33028,26972,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,69,5.19752247462596e-15,29042,30958,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,70,4.147677750323558e-12,29151,30849,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,71,1.3632862125433417e-32,28544,31456,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,72,2.5583464594546527e-13,29104,30896,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,73,0.618439698712623,29939,30061,1
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,74,0.11887608154133539,29809,30191,1
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,75,0.0013327554368945367,29607,30393,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,76,0.14612274017153085,30178,29822,1
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,77,0.2959695340017445,29872,30128,1
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,78,0.06499648782240851,29774,30226,1
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,79,0.11134688653314048,29805,30195,1
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,80,0.1998778570618575,30157,29843,1
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,81,1.245618165518369e-38,28408,31592,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,82,1.8823215582954892e-44,31713,28287,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,83,0.00035959291653261575,30437,29563,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,84,2.2365178369035572e-18,28929,31071,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,85,8.788901082302361e-17,28981,31019,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,86,0.13727283186161604,29818,30182,1
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,87,3.105157138069611e-12,30854,29146,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,88,0.001669336642742557,29615,30385,0
2025-03-06,ibm_brisbane,cz4q97mp6030008cfdb0,60000,0.01,89,0.7750513736700824,29965,30035,1
