Date,Backend,JobID,Shots,Alpha,Qubit,P_Value,Zero,One,Quality
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,0,3.631792053726033e-23,38598,41402,0
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,1,2.375298071559632e-19,38728,41272,0
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,2,0.904318259607774,39983,40017,1
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,3,4.8318962395783604e-57,37749,42251,0
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,4,2.8382317006905874e-05,39408,40592,0
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,5,0.9661587776582645,39994,40006,1
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,6,0.2081567531855047,39822,40178,1
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,7,1.0976085386345446e-18,38752,41248,0
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,8,0.6106702988713358,40072,39928,1
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,9,6.728138415221104e-11,39077,40923,0
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,10,1.3070667257073168e-08,39196,40804,0
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,11,8.521530566875211e-19,38748,41252,0
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,12,0.22389973167644336,39828,40172,1
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,13,0.36541417087785866,40128,39872,1
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,14,0.103876157063085,40230,39770,1
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,15,0.0008452233592249074,39528,40472,0
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,16,4.9259356171309676e-32,38334,41666,0
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,17,0.009456838523478861,39633,40367,0
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,18,1.720587785036685e-19,38723,41277,0
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,19,0.7078340606485755,40053,39947,1
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,20,1.1283604193367176e-62,37637,42363,0
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,21,2.7568435925286937e-118,43270,36730,0
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,22,0.0736180113866171,39747,40253,1
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,23,1.691976551659416e-06,39323,40677,0
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,24,0.0,29954,50046,0
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,25,1.0366276486866048e-77,37361,42639,0
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,26,8.998220839268621e-16,41137,38863,0
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,27,0.00012683792662830025,40542,39458,0
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,28,9.080978427323962e-110,36852,43148,0
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,29,2.073896363713263e-05,39398,40602,0
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,30,0.1745763503561818,39808,40192,1
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,31,0.7131002767842509,39948,40052,1
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,32,0.001612167938301817,39554,40446,0
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,33,2.9279229963866013e-05,39409,40591,0
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,34,1.6330396496656008e-26,38493,41507,0
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,35,1.2998032109346844e-26,38490,41510,0
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,36,0.002098580142836734,39565,40435,0
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,37,0.03048379090666434,39694,40306,1
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,38,0.10538820851044012,39771,40229,1
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,39,2.6259123525653826e-14,38923,41077,0
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,40,0.4080585814071574,39883,40117,1
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,41,1.3191928829282259e-12,38997,41003,0
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,42,0.024991861795654064,39683,40317,1
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,43,3.5405781416764277e-09,39165,40835,0
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,44,0.24908115165773254,39837,40163,1
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,45,0.03894649048688198,40292,39708,1
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,46,3.0577097964381747e-06,40660,39340,0
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,47,0.7610852917168622,39957,40043,1
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,48,0.019624414976639727,39670,40330,1
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,49,5.827464310239683e-06,39359,40641,0
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,50,1.1717289541793324e-42,41936,38064,0
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,51,0.0034178469833615922,40414,39586,0
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,52,1.0291384677330014e-11,40962,39038,0
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,53,2.255659980582407e-13,38963,41037,0
2025-03-06,ibm_brisbane,cz4qaah39f40008sdhpg,80000,0.01,54,0.0007065070451279036,39521,40479,0
