Qubit,T1 (us),T2 (us),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,√x (sx) error ,P_Value,Zero,One,Quality
0,296.01266422162377,55.66947962356316,0.0612,0.0154,0.107,0.0003337185574513,6.530924777289154e-80,47007,52993,0
1,293.0859541650365,218.02048857758984,0.0686999999999999,0.032,0.1054,0.0001579015360847,6.13967494329294e-13,48862,51138,0
2,350.1354184440218,292.3047007446352,0.0073999999999999,0.0098,0.005,0.0001769940778522,0.6352562959972483,50075,49925,1
3,319.62785360958446,402.8027065495856,0.027,0.015,0.039,0.0007942618639421,1.0450744334816393e-50,47632,52368,0
4,350.8736869408533,252.53745354181584,0.0343,0.0482,0.0204,0.0006255546447642,0.1660287358220395,50219,49781,1
5,90.67182520176674,132.42551394672216,0.007,0.0098,0.0042,0.0003683814200176,0.9193973445748892,50016,49984,1
6,127.79422205260616,69.26538338139814,0.0089,0.008,0.0098,0.0002681680629049,0.0925045344589369,50266,49734,1
7,291.9011229003346,317.71290492372606,0.0189,0.0194,0.0184,0.0005264943040941,0.0013732034599669,49494,50506,0
8,263.8408658169988,177.76473334811678,0.0174999999999999,0.0068,0.0282,0.0001646276217161,0.0025016859407515,50478,49522,0
9,296.85016432205566,142.871476085231,0.0050999999999999,0.0036,0.0066,0.0001317819105984,0.241983771847335,49815,50185,1
10,362.2952834896347,239.40310009159612,0.0151,0.01,0.0202,0.0001022018257282,0.005495105197443,49561,50439,0
11,201.47529363302263,229.8989973408266,0.1441,0.1258,0.1624,0.0002637852245137,0.0888856580404116,49731,50269,1
12,236.5857128954933,161.04445122616264,0.0144999999999999,0.0132,0.0158,0.0001966517342673,0.0001203904860306,49392,50608,0
13,367.6289596855888,129.38116092632035,0.021,0.0188,0.0232,0.0001741829033762,6.978548985539772e-14,48816,51184,0
14,187.05082065819923,117.10206255311776,0.0164999999999999,0.0146,0.0184,0.0001408424856035,0.2344332133613197,49812,50188,1
