Date,Backend,JobID,Shots,Alpha,Qubit,P_Value,Zero,One,Quality
2025-01-25,ibm_brisbane,cyac13mrta1g0087m400,20000,0.01,0,1.6822129623482768e-25,9262,10738,0
2025-01-25,ibm_brisbane,cyac13mrta1g0087m400,20000,0.01,1,0.00010062192211963709,9725,10275,0
2025-01-25,ibm_brisbane,cyac13mrta1g0087m400,20000,0.01,2,0.6007940159570008,10037,9963,1
2025-01-25,ibm_brisbane,cyac13mrta1g0087m400,20000,0.01,3,1.4179260654592346e-06,9659,10341,0
2025-01-25,ibm_brisbane,cyac13mrta1g0087m400,20000,0.01,4,0.5337748847220425,10044,9956,1
2025-01-25,ibm_brisbane,cyac13mrta1g0087m400,20000,0.01,5,0.12319689806246176,9891,10109,1
2025-01-25,ibm_brisbane,cyac13mrta1g0087m400,20000,0.01,6,0.17910919272672207,10095,9905,1
2025-01-25,ibm_brisbane,cyac13mrta1g0087m400,20000,0.01,7,0.0023613929626746565,9785,10215,0
2025-01-25,ibm_brisbane,cyac13mrta1g0087m400,20000,0.01,8,0.9887165844441503,9999,10001,1
2025-01-25,ibm_brisbane,cyac13mrta1g0087m400,20000,0.01,9,0.01047545537805564,9819,10181,1
2025-01-25,ibm_brisbane,cyac13mrta1g0087m400,20000,0.01,10,0.2578990352923396,10080,9920,1
2025-01-25,ibm_brisbane,cyac13mrta1g0087m400,20000,0.01,11,0.4366766336748911,9945,10055,1
2025-01-25,ibm_brisbane,cyac13mrta1g0087m400,20000,0.01,12,0.03272325187128839,9849,10151,1
2025-01-25,ibm_brisbane,cyac13mrta1g0087m400,20000,0.01,13,0.021157160326429877,9837,10163,1
2025-01-25,ibm_brisbane,cyac13mrta1g0087m400,20000,0.01,14,0.9099218741589818,10008,9992,1
2025-01-25,ibm_brisbane,cyac13mrta1g0087m400,20000,0.01,15,0.044623821359103866,9858,10142,1
2025-01-25,ibm_brisbane,cyac13mrta1g0087m400,20000,0.01,16,0.1614919304446302,10099,9901,1
2025-01-25,ibm_brisbane,cyac13mrta1g0087m400,20000,0.01,17,0.006344349829503632,10193,9807,0
2025-01-25,ibm_brisbane,cyac13mrta1g0087m400,20000,0.01,18,0.6817165041390478,10029,9971,1
2025-01-25,ibm_brisbane,cyac13mrta1g0087m400,20000,0.01,19,0.21856015450944932,10087,9913,1
2025-01-25,ibm_brisbane,cyac13mrta1g0087m400,20000,0.01,20,0.003576538210304073,9794,10206,0
2025-01-25,ibm_brisbane,cyac13mrta1g0087m400,20000,0.01,21,0.02037822047576801,9836,10164,1
2025-01-25,ibm_brisbane,cyac13mrta1g0087m400,20000,0.01,22,0.9099218741589818,10008,9992,1
2025-01-25,ibm_brisbane,cyac13mrta1g0087m400,20000,0.01,23,0.1302267028364134,9893,10107,1
2025-01-25,ibm_brisbane,cyac13mrta1g0087m400,20000,0.01,24,1.5158744068152414e-165,8061,11939,0
2025-01-25,ibm_brisbane,cyac13mrta1g0087m400,20000,0.01,25,0.47950012218695354,9950,10050,1
2025-01-25,ibm_brisbane,cyac13mrta1g0087m400,20000,0.01,26,1.612887893377391e-19,9361,10639,0
2025-01-25,ibm_brisbane,cyac13mrta1g0087m400,20000,0.01,27,0.13385641336489199,9894,10106,1
2025-01-25,ibm_brisbane,cyac13mrta1g0087m400,20000,0.01,28,2.404816236191617e-27,9234,10766,0
2025-01-25,ibm_brisbane,cyac13mrta1g0087m400,20000,0.01,29,0.040304974362540776,9855,10145,1
