Date,Backend,JobID,Shots,Alpha,Qubit,P_Value,Zero,One,Quality
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,0,6.913608981505113e-42,18644,21356,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,1,3.18247594381644e-05,19584,20416,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,2,0.35757275922874343,20092,19908,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,3,1.3606623081547954e-14,19230,20770,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,4,0.6241338988347811,19951,20049,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,5,0.07186063822585162,19820,20180,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,6,0.74896833055336,20032,19968,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,7,0.9441936596389577,20007,19993,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,8,0.005605629265530062,20277,19723,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,9,0.0020015649532280225,19691,20309,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,10,0.0001768345704016081,19625,20375,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,11,0.44129989268529923,19923,20077,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,12,0.0020015649532280225,19691,20309,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,13,0.0026124768975389397,19699,20301,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,14,0.5286945842313551,20063,19937,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,15,0.03000684594746441,19783,20217,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,16,0.09295731572744015,20168,19832,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,17,3.3965348142952075e-07,20510,19490,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,18,0.023207583043807083,20227,19773,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,19,0.000673858531353763,20340,19660,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,20,1.2346147440183977e-06,19515,20485,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,21,0.056133213319545044,19809,20191,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,22,7.494976338214705e-05,20396,19604,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,23,0.010772291908133386,19745,20255,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,24,8.75e-318,16189,23811,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,25,0.21497539414917388,19876,20124,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,26,1.5659744389731672e-26,18934,21066,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,27,0.4592999943295813,20074,19926,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,28,9.054085024269761e-41,18663,21337,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,29,0.18351827130056167,19867,20133,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,30,0.368120250693519,20090,19910,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,31,0.004104717989879507,20287,19713,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,32,0.03752553286987552,20208,19792,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,33,1.8593308356679912e-14,20766,19234,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,34,0.04999579029644087,20196,19804,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,35,4.503570077705088e-05,19592,20408,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,36,0.003076390423476122,19704,20296,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,37,0.09894293606729622,19835,20165,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,38,0.1936009691712207,20130,19870,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,39,3.343538091973007e-57,18406,21594,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,40,0.4777041361799735,19929,20071,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,41,0.9044831479588323,20012,19988,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,42,0.047703528683017075,19802,20198,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,43,5.646316074086536e-10,19380,20620,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,44,0.984043372566196,20002,19998,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,45,9.80029173738195e-11,19353,20647,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,46,0.0007794247251640651,20336,19664,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,47,0.12601672892795684,20153,19847,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,48,0.8258711547035708,19978,20022,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,49,0.00015064728475736678,20379,19621,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,50,0.00016991335699599624,20376,19624,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,51,6.016421502393679e-10,20619,19381,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,52,3.7664617471735526e-23,19009,20991,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,53,0.0,25647,14353,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,54,0.023207583043807083,20227,19773,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,55,0.27133212189276534,20110,19890,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,56,2.4430231850506118e-05,20422,19578,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,57,4.7013137737191124e-05,20407,19593,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,58,1.0825087815407715e-05,19560,20440,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,59,0.23800021491040146,20118,19882,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,60,0.012774309529886353,19751,20249,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,61,0.8650101366499232,20017,19983,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,62,0.020888154123902176,19769,20231,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,63,1.5093029582927475e-06,19519,20481,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,64,0.11641511127710608,19843,20157,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,65,0.3628225097835945,19909,20091,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,66,0.06288552596150543,19814,20186,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,67,2.6156330265284825e-10,20632,19368,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,68,0.5028577901906203,20067,19933,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,69,0.3270861186553847,20098,19902,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,70,5.03152619782372e-11,19343,20657,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,71,0.6312273930324452,19952,20048,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,72,9.759874562338711e-12,19319,20681,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,73,0.002213369914818494,20306,19694,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,74,0.4839273044461461,19930,20070,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,75,5.9852560652701184e-12,20688,19312,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,76,0.010467216327111586,20256,19744,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,77,0.5221725993857232,19936,20064,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,78,0.09894293606729622,20165,19835,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,79,0.016395071849192276,19760,20240,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,80,2.477167914704943e-06,20471,19529,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,81,5.3451201438984214e-05,20404,19596,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,82,5.121763294808307e-05,19595,20405,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,83,0.047703528683017075,19802,20198,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,84,0.275713144064071,20109,19891,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,85,0.03752553286987552,20208,19792,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,86,0.009054222265934657,19739,20261,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,87,1.1580268079929204e-07,20530,19470,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,88,0.032354766744332186,19786,20214,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,89,5.3451201438984214e-05,19596,20404,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,90,0.0059595264701091145,20275,19725,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,91,0.6891565167793516,19960,20040,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,92,0.43539087517146635,19922,20078,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,93,2.3584464330327966e-06,19528,20472,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,94,0.000673858531353763,19660,20340,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,95,3.235140758374751e-106,22189,17811,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,96,0.5961119307897529,20053,19947,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,97,0.12601672892795684,20153,19847,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,98,0.0054358898454025225,20278,19722,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,99,4.9157301236160635e-09,19415,20585,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,100,0.21869710485138388,20123,19877,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,101,1.1445972126542467e-18,19118,20882,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,102,1.0587090772909525e-20,20933,19067,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,103,0.920344325445942,20010,19990,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,104,4.7013137737191124e-05,20407,19593,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,105,0.4777041361799735,20071,19929,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,106,0.7039454151516744,19962,20038,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,107,0.3843004042073924,20087,19913,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,108,0.0021405877093578505,20307,19693,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,109,0.010467216327111586,19744,20256,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,110,0.03939854081875382,20206,19794,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,111,0.13622423593345095,20149,19851,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,112,4.796603344174712e-49,21472,18528,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,113,0.6383550175651117,19953,20047,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,114,0.4777041361799735,20071,19929,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,115,0.04999579029644087,20196,19804,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,116,0.3843004042073924,19913,20087,1
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,117,3.407561749714523e-23,19008,20992,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,118,0.005270804155809909,20279,19721,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,119,0.0001181178248378451,19615,20385,0
2025-01-25,ibm_brisbane,cyabzz79b62g008j4p00,40000,0.01,120,1.6281070740606094e-25,21044,18956,0
