"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","296.01266422162377","55.66947962356316","4.721908316964448","-0.31197865973435573","0.06120000000000003","0.0154","0.107","1300","0.00033371855745134213","0","0.00033371855745134213","0.00033371855745134213","","","true"
"1","293.0859541650365","218.02048857758984","4.81513590032656","-0.3097440319777085","0.06869999999999998","0.032","0.1054","1300","0.00015790153608479158","0","0.00015790153608479158","0.00015790153608479158","1_0:0.005206457381628921","1_0:660","true"
"2","350.1354184440218","292.30470074463517","4.609655107492074","-0.3090875180776862","0.007399999999999962","0.0098","0.005","1300","0.00017699407785228878","0","0.00017699407785228878","0.00017699407785228878","2_1:0.006941893845479996","2_1:660","true"
"3","319.62785360958446","402.8027065495856","4.875545985705616","-0.30968652168552707","0.027000000000000024","0.015","0.039","1300","0.0007942618639421668","0","0.0007942618639421668","0.0007942618639421668","3_2:0.012826620338657946","3_2:660","true"
"4","350.8736869408533","252.53745354181584","4.818175808974537","-0.3103713081153928","0.0343","0.0482","0.0204","1300","0.0006255546447642946","0","0.0006255546447642946","0.0006255546447642946","4_15:0.013560113859322431;4_3:0.015200639202649163;4_5:0.009768299967407745","4_15:660;4_3:660;4_5:660","true"
"5","90.67182520176674","132.42551394672216","4.7341447892979165","-0.3114518235315779","0.007000000000000006","0.0098","0.0042","1300","0.00036838142001762803","0","0.00036838142001762803","0.00036838142001762803","","","true"
"6","127.79422205260616","69.26538338139814","4.876275766278119","-0.30918835047116894","0.008900000000000019","0.008","0.0098","1300","0.00026816806290491717","0","0.00026816806290491717","0.00026816806290491717","6_5:0.009317837659797518;6_7:0.009285178736213706","6_5:660;6_7:660","true"
"7","291.9011229003346","317.71290492372606","4.967524822898377","-0.30745739300983294","0.018900000000000028","0.0194","0.0184","1300","0.0005264943040941953","0","0.0005264943040941953","0.0005264943040941953","7_8:0.015305041715157924","7_8:660","true"
"8","263.84086581699876","177.76473334811678","4.902345248208107","-0.30837827664687645","0.01749999999999996","0.0068","0.0282","1300","0.00016462762171611428","0","0.00016462762171611428","0.00016462762171611428","8_9:0.006850491304538048","8_9:660","true"
"9","296.85016432205566","142.871476085231","4.987235069122292","-0.3080310587566364","0.005099999999999993","0.0036","0.0066","1300","0.00013178191059849494","0","0.00013178191059849494","0.00013178191059849494","","","true"
