Date,Backend,JobID,Shots,Alpha,Qubit,P_Value,Zero,One,Quality
2025-03-05,ibm_kyiv,cz468pjh0kc00088tcpg,40000,0.01,0,0.044431188858863005,20201,19799,1
2025-03-05,ibm_kyiv,cz468pjh0kc00088tcpg,40000,0.01,1,0.05743311963200364,19810,20190,1
2025-03-05,ibm_kyiv,cz468pjh0kc00088tcpg,40000,0.01,2,0.006143918437300988,19726,20274,0
2025-03-05,ibm_kyiv,cz468pjh0kc00088tcpg,40000,0.01,3,0.06010807792239962,20188,19812,1
2025-03-05,ibm_kyiv,cz468pjh0kc00088tcpg,40000,0.01,4,1.1599826154675596e-34,18772,21228,0
2025-03-05,ibm_kyiv,cz468pjh0kc00088tcpg,40000,0.01,5,0.8103302566044084,20024,19976,1
2025-03-05,ibm_kyiv,cz468pjh0kc00088tcpg,40000,0.01,6,0.9362372559720252,20008,19992,1
2025-03-05,ibm_kyiv,cz468pjh0kc00088tcpg,40000,0.01,7,0.741399962118693,20033,19967,1
2025-03-05,ibm_kyiv,cz468pjh0kc00088tcpg,40000,0.01,8,2.4649723698717282e-20,20924,19076,0
2025-03-05,ibm_kyiv,cz468pjh0kc00088tcpg,40000,0.01,9,0.2301393404434166,20120,19880,1
2025-03-05,ibm_kyiv,cz468pjh0kc00088tcpg,40000,0.01,10,0.21129954733371056,20125,19875,1
2025-03-05,ibm_kyiv,cz468pjh0kc00088tcpg,40000,0.01,11,2.3369131189414823e-05,20423,19577,0
2025-03-05,ibm_kyiv,cz468pjh0kc00088tcpg,40000,0.01,12,0.001374275875831697,19680,20320,0
2025-03-05,ibm_kyiv,cz468pjh0kc00088tcpg,40000,0.01,13,0.5156922216117295,19935,20065,1
2025-03-05,ibm_kyiv,cz468pjh0kc00088tcpg,40000,0.01,14,0.009597593194252376,20259,19741,0
2025-03-05,ibm_kyiv,cz468pjh0kc00088tcpg,40000,0.01,15,0.2846193087118784,19893,20107,1
2025-03-05,ibm_kyiv,cz468pjh0kc00088tcpg,40000,0.01,16,0.043383387535293576,19798,20202,1
2025-03-05,ibm_kyiv,cz468pjh0kc00088tcpg,40000,0.01,17,0.3734658860743453,19911,20089,1
2025-03-05,ibm_kyiv,cz468pjh0kc00088tcpg,40000,0.01,18,0.0004315467985894349,20352,19648,0
