Date,Backend,JobID,Shots,Alpha,Qubit,P_Value,Zero,One,Quality
2025-03-05,ibm_kyiv,cz46a0r10wx0008bdaq0,80000,0.01,0,0.0001382347718280353,40539,39461,0
2025-03-05,ibm_kyiv,cz46a0r10wx0008bdaq0,80000,0.01,1,0.2266042258027557,39829,40171,1
2025-03-05,ibm_kyiv,cz46a0r10wx0008bdaq0,80000,0.01,2,0.19566355226856605,40183,39817,1
2025-03-05,ibm_kyiv,cz46a0r10wx0008bdaq0,80000,0.01,3,0.0007631420050713073,40476,39524,0
2025-03-05,ibm_kyiv,cz46a0r10wx0008bdaq0,80000,0.01,4,4.56221584239422e-41,38102,41898,0
2025-03-05,ibm_kyiv,cz46a0r10wx0008bdaq0,80000,0.01,5,5.1506225573248705e-12,40976,39024,0
2025-03-05,ibm_kyiv,cz46a0r10wx0008bdaq0,80000,0.01,6,0.3153344497825558,40142,39858,1
2025-03-05,ibm_kyiv,cz46a0r10wx0008bdaq0,80000,0.01,7,0.6973436642249593,40055,39945,1
2025-03-05,ibm_kyiv,cz46a0r10wx0008bdaq0,80000,0.01,8,2.770896983131174e-46,42020,37980,0
2025-03-05,ibm_kyiv,cz46a0r10wx0008bdaq0,80000,0.01,9,7.118036603663971e-06,40635,39365,0
2025-03-05,ibm_kyiv,cz46a0r10wx0008bdaq0,80000,0.01,10,0.03894649048688198,40292,39708,1
2025-03-05,ibm_kyiv,cz46a0r10wx0008bdaq0,80000,0.01,11,2.300163774464404e-09,40845,39155,0
2025-03-05,ibm_kyiv,cz46a0r10wx0008bdaq0,80000,0.01,12,4.354378868427945e-18,38774,41226,0
2025-03-05,ibm_kyiv,cz46a0r10wx0008bdaq0,80000,0.01,13,0.5384339396120374,40087,39913,1
2025-03-05,ibm_kyiv,cz46a0r10wx0008bdaq0,80000,0.01,14,0.021556266760016356,40325,39675,1
2025-03-05,ibm_kyiv,cz46a0r10wx0008bdaq0,80000,0.01,15,4.6148336612562346e-07,40713,39287,0
2025-03-05,ibm_kyiv,cz46a0r10wx0008bdaq0,80000,0.01,16,0.0007438113777325686,39523,40477,0
2025-03-05,ibm_kyiv,cz46a0r10wx0008bdaq0,80000,0.01,17,0.008527511664360436,40372,39628,0
2025-03-05,ibm_kyiv,cz46a0r10wx0008bdaq0,80000,0.01,18,0.0007065070451279036,40479,39521,0
