Date,Backend,JobID,Shots,Alpha,Qubit,P_Value,Zero,One,Quality
2025-01-28,ibm_kyiv,cycd0manrmz0008699fg,40000,0.01,0,0.2891445993278192,20106,19894,1
2025-01-28,ibm_kyiv,cycd0manrmz0008699fg,40000,0.01,1,0.07840780657496531,20176,19824,1
2025-01-28,ibm_kyiv,cycd0manrmz0008699fg,40000,0.01,2,0.3370552149336757,20096,19904,1
2025-01-28,ibm_kyiv,cycd0manrmz0008699fg,40000,0.01,3,0.3320464921270593,20097,19903,1
2025-01-28,ibm_kyiv,cycd0manrmz0008699fg,40000,0.01,4,5.456307142692236e-21,20940,19060,0
2025-01-28,ibm_kyiv,cycd0manrmz0008699fg,40000,0.01,5,0.028524236821337767,20219,19781,1
2025-01-28,ibm_kyiv,cycd0manrmz0008699fg,40000,0.01,6,8.252148084793601e-10,20614,19386,0
2025-01-28,ibm_kyiv,cycd0manrmz0008699fg,40000,0.01,7,2.5223793342021977e-09,20596,19404,0
2025-01-28,ibm_kyiv,cycd0manrmz0008699fg,40000,0.01,8,1.4703667359814252e-29,21129,18871,0
2025-01-28,ibm_kyiv,cycd0manrmz0008699fg,40000,0.01,9,1.278323499563951e-20,20931,19069,0
2025-01-28,ibm_kyiv,cycd0manrmz0008699fg,40000,0.01,10,0.3953250862453848,19915,20085,1
2025-01-28,ibm_kyiv,cycd0manrmz0008699fg,40000,0.01,11,0.26271376208546143,20112,19888,1
2025-01-28,ibm_kyiv,cycd0manrmz0008699fg,40000,0.01,12,0.00014469608785024028,19620,20380,0
2025-01-28,ibm_kyiv,cycd0manrmz0008699fg,40000,0.01,13,0.001374275875831697,20320,19680,0
2025-01-28,ibm_kyiv,cycd0manrmz0008699fg,40000,0.01,14,0.00013345167405936972,20382,19618,0
2025-01-28,ibm_kyiv,cycd0manrmz0008699fg,40000,0.01,15,0.7338565279279439,19966,20034,1
2025-01-28,ibm_kyiv,cycd0manrmz0008699fg,40000,0.01,16,4.4868474143471765e-13,20724,19276,0
