Date,Backend,JobID,Shots,Alpha,Qubit,P_Value,Zero,One,Quality
2025-01-28,ibm_kyiv,cycd1647v8tg008g2p50,60000,0.01,0,0.008980671241898833,30320,29680,0
2025-01-28,ibm_kyiv,cycd1647v8tg008g2p50,60000,0.01,1,1.2064351630893841e-05,30536,29464,0
2025-01-28,ibm_kyiv,cycd1647v8tg008g2p50,60000,0.01,2,0.0011890601080095313,30397,29603,0
2025-01-28,ibm_kyiv,cycd1647v8tg008g2p50,60000,0.01,3,0.38230815715522926,30107,29893,1
2025-01-28,ibm_kyiv,cycd1647v8tg008g2p50,60000,0.01,4,2.973477147502343e-32,31448,28552,0
2025-01-28,ibm_kyiv,cycd1647v8tg008g2p50,60000,0.01,5,0.05501383235397909,30235,29765,1
2025-01-28,ibm_kyiv,cycd1647v8tg008g2p50,60000,0.01,6,5.212430513980893e-06,30558,29442,0
2025-01-28,ibm_kyiv,cycd1647v8tg008g2p50,60000,0.01,7,2.82134106863843e-08,30680,29320,0
2025-01-28,ibm_kyiv,cycd1647v8tg008g2p50,60000,0.01,8,2.6658455143148426e-30,31401,28599,0
2025-01-28,ibm_kyiv,cycd1647v8tg008g2p50,60000,0.01,9,3.2361004548521275e-10,30770,29230,0
2025-01-28,ibm_kyiv,cycd1647v8tg008g2p50,60000,0.01,10,0.056055747241885674,29766,30234,1
2025-01-28,ibm_kyiv,cycd1647v8tg008g2p50,60000,0.01,11,0.0015785484205704864,30387,29613,0
2025-01-28,ibm_kyiv,cycd1647v8tg008g2p50,60000,0.01,12,0.056055747241885674,29766,30234,1
2025-01-28,ibm_kyiv,cycd1647v8tg008g2p50,60000,0.01,13,0.624206114766406,30060,29940,1
2025-01-28,ibm_kyiv,cycd1647v8tg008g2p50,60000,0.01,14,0.051984526934661296,30238,29762,1
2025-01-28,ibm_kyiv,cycd1647v8tg008g2p50,60000,0.01,15,0.6299956425486466,29941,30059,1
2025-01-28,ibm_kyiv,cycd1647v8tg008g2p50,60000,0.01,16,1.807811582754367e-10,30781,29219,0
