Date,Backend,JobID,Shots,Alpha,Qubit,P_Value,Zero,One,Quality
2025-01-28,ibm_kyiv,cycd248nrmz0008699tg,80000,0.01,0,0.006344349829503632,40386,39614,0
2025-01-28,ibm_kyiv,cycd248nrmz0008699tg,80000,0.01,1,8.26708567784458e-09,40815,39185,0
2025-01-28,ibm_kyiv,cycd248nrmz0008699tg,80000,0.01,2,0.0072095707647425325,40380,39620,0
2025-01-28,ibm_kyiv,cycd248nrmz0008699tg,80000,0.01,3,7.86174141898307e-06,40632,39368,0
2025-01-28,ibm_kyiv,cycd248nrmz0008699tg,80000,0.01,4,8.886544418452134e-41,41891,38109,0
2025-01-28,ibm_kyiv,cycd248nrmz0008699tg,80000,0.01,5,0.01005684350259236,40364,39636,1
2025-01-28,ibm_kyiv,cycd248nrmz0008699tg,80000,0.01,6,1.541725790028008e-08,40800,39200,0
2025-01-28,ibm_kyiv,cycd248nrmz0008699tg,80000,0.01,7,0.0010088516329663857,40465,39535,0
2025-01-28,ibm_kyiv,cycd248nrmz0008699tg,80000,0.01,8,1.5706608341732136e-40,41885,38115,0
2025-01-28,ibm_kyiv,cycd248nrmz0008699tg,80000,0.01,9,1.8584964372655132e-20,41311,38689,0
2025-01-28,ibm_kyiv,cycd248nrmz0008699tg,80000,0.01,10,0.8819541644087981,40021,39979,1
2025-01-28,ibm_kyiv,cycd248nrmz0008699tg,80000,0.01,11,2.279730553073065e-05,40599,39401,0
2025-01-28,ibm_kyiv,cycd248nrmz0008699tg,80000,0.01,12,0.05533208884958151,39729,40271,1
2025-01-28,ibm_kyiv,cycd248nrmz0008699tg,80000,0.01,13,2.4180444319621445e-08,40789,39211,0
2025-01-28,ibm_kyiv,cycd248nrmz0008699tg,80000,0.01,14,6.441898213827724e-06,40638,39362,0
2025-01-28,ibm_kyiv,cycd248nrmz0008699tg,80000,0.01,15,0.12319689806246176,39782,40218,1
2025-01-28,ibm_kyiv,cycd248nrmz0008699tg,80000,0.01,16,2.8554941795922058e-09,40840,39160,0
2025-01-28,ibm_kyiv,cycd248nrmz0008699tg,80000,0.01,17,0.0022003071430068905,39567,40433,0
2025-01-28,ibm_kyiv,cycd248nrmz0008699tg,80000,0.01,18,0.7289802668414915,40049,39951,1
2025-01-28,ibm_kyiv,cycd248nrmz0008699tg,80000,0.01,19,6.700027654084918e-09,40820,39180,0
2025-01-28,ibm_kyiv,cycd248nrmz0008699tg,80000,0.01,20,6.579356804939133e-65,42406,37594,0
2025-01-28,ibm_kyiv,cycd248nrmz0008699tg,80000,0.01,21,0.04932670419490354,40278,39722,1
