Qubit,T1_us,T2_us,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,x_sx_error_,p_i,p_i_pred,RSE
0,237.363640207058,60.47969240018557,0.033203125,0.0283203125,0.0380859375,0.0001734065740478,0.8855151228733432,0.9165281992702623,0.0009618109076011394
0,296.01266422162377,55.66947962356316,0.0612,0.0154,0.107,0.0003337185574513,0.8648393194706968,0.8641660688902034,4.532663441346862e-07
1,158.45256790461264,306.6382369930084,0.02490234375,0.01611328125,0.03369140625,7.17078124105e-05,0.8914224952740993,0.934609354687796,0.001865104826018404
1,293.0859541650365,218.02048857758984,0.0686999999999999,0.032,0.1054,0.0001579015360847,0.9682183364839289,0.8507885030682142,0.013789765776042497
2,227.8750927230388,267.9119653614913,0.014892578125,0.0166015625,0.01318359375,0.0003293684085777,0.9564035916824166,0.949784933681965,4.3806633726941746e-05
2,350.1354184440218,292.3047007446352,0.0073999999999999,0.0098,0.005,0.0001769940778522,0.9763705103969724,0.9591784933774925,0.0002955654491980873
3,366.2675928480455,391.6436882299018,0.023681640625,0.00927734375,0.0380859375,0.0001072344262964,0.8057655954631356,0.9294884623767701,0.015307347797328898
3,319.62785360958446,402.8027065495856,0.027,0.015,0.039,0.0007942618639421,0.9050094517958384,0.9248596171452246,0.00039402906439797323
4,172.24369977361226,171.70368343098505,0.015625,0.0126953125,0.0185546875,0.0001072341151506,0.9627835538752332,0.9507100300574254,0.00014576997737917214
4,350.8736869408533,252.53745354181584,0.0343,0.0482,0.0204,0.0006255546447642,0.9881852551984844,0.9108334727647264,0.005983298245679443
5,225.67540407570323,220.38074977243463,0.009033203125,0.00537109375,0.0126953125,8.96154926666e-05,0.9822778827977284,0.9603961259365067,0.00047881128333362446
5,90.67182520176674,132.42551394672216,0.007,0.0098,0.0042,0.0003683814200176,0.9881852551984844,0.9691326053535098,0.0003630034661152136
6,223.59246244380788,83.15010574387493,0.018798828125,0.025390625,0.01220703125,0.0002654272281749,0.990548204158787,0.9429336765767143,0.002267143236863955
6,127.79422205260616,69.26538338139814,0.0089,0.008,0.0098,0.0002681680629049,0.9763705103969724,0.9645592344770787,0.0001395062388558614
7,291.9011229003346,317.71290492372606,0.0189,0.0194,0.0184,0.0005264943040941,0.9386814744801484,0.9402905030107588,2.5889728123182673e-06
7,305.1706883653607,263.1396460704861,0.009521484375,0.0087890625,0.01025390625,0.0002545484611121,0.929820415879014,0.9567089917636361,0.0007229955131030824
8,263.8408658169988,177.76473334811678,0.0174999999999999,0.0068,0.0282,0.0001646276217161,0.9504962192816604,0.943766340330274,4.5291270700314206e-05
8,326.53473998060616,243.50256007339945,0.010498046875,0.0107421875,0.01025390625,0.0001774487344584,0.9999999999999968,0.9542958220784196,0.002088871879487186
9,296.85016432205566,142.871476085231,0.0050999999999999,0.0036,0.0066,0.0001317819105984,0.9593572778827948,0.964919418065607,3.093740341325417e-05
9,406.53941390709633,173.71557353229463,0.008056640625,0.00732421875,0.0087890625,0.0001318647973293,0.9032372400756116,0.9565415206089872,0.0028413463231808113
10,362.2952834896347,239.4031000915961,0.0151,0.01,0.0202,0.0001022018257282,0.9881852551984844,0.9450116143220516,0.0018639632665271915
10,170.16594938485383,222.03664718935835,0.02197265625,0.01806640625,0.02587890625,0.0001214329576312,0.9380907372400726,0.9393923095809565,1.694090558554009e-06
11,205.7224190331731,434.74928590199846,0.15966796875,0.15185546875,0.16748046875,0.0001759860271404,0.8825614366729652,0.6905772289503027,0.0368579360148984
11,201.47529363302263,229.8989973408266,0.1441,0.1258,0.1624,0.0002637852245137,0.9822778827977284,0.7187153264094704,0.06946522112991367
12,338.3716887812377,164.3107462057929,0.017822265625,0.01123046875,0.0244140625,0.0001279350496918,0.9787334593572748,0.9407900528177405,0.0014397020998243757
12,236.5857128954933,161.04445122616264,0.0144999999999999,0.0132,0.0158,0.0001966517342673,0.929820415879014,0.9501568200708679,0.0004135693354544527
13,252.9946090284145,61.5982989786162,0.028076171875,0.01806640625,0.0380859375,0.0002414188771671,0.9881852551984844,0.9251573688208052,0.003972514461237639
13,367.6289596855888,129.38116092632035,0.021,0.0188,0.0232,0.0001741829033762,0.9144612476370482,0.9342695947102749,0.00039237061377341123
14,276.9729936703178,122.9701473505566,0.0166015625,0.01220703125,0.02099609375,0.0002106852708509,0.9120982986767456,0.944921744328177,0.0010773785844324683
14,187.05082065819923,117.10206255311776,0.0164999999999999,0.0146,0.0184,0.0001408424856035,0.9763705103969724,0.9485292578622879,0.0007751353427000763
15,134.99003243534105,30.72728187850089,0.0080999999999999,0.0108,0.0054,0.000703466496972,0.9940926275992408,0.9657258864267947,0.0008046720047445479
15,304.941767605406,42.92847532995483,0.01220703125,0.01220703125,0.01220703125,0.0003592117090424,0.94517958412098,0.951891828270025,4.505422151638927e-05
16,252.38336309162125,16.372709835707646,0.01806640625,0.013671875,0.0224609375,0.0002968054869654,0.929820415879014,0.943161694478271,0.00017798971466299402
16,148.275781264609,18.80196008217021,0.0171999999999999,0.0186,0.0158,0.0002529120167948,0.9940926275992408,0.948857439347032,0.002046222256212763
17,342.06517625741174,352.68055275755825,0.0153999999999999,0.0192,0.0116,0.000130909004173,0.8530245746691846,0.9450352549402451,0.008465965283943326
17,183.08100247970776,221.53029918683947,0.017333984375,0.01171875,0.02294921875,0.0001692053775096,0.918005671077502,0.94719398487722,0.000851957662470807
18,119.68547096349434,93.22240520103266,0.0166015625,0.01904296875,0.01416015625,0.0003159875488943,0.9032372400756116,0.9510152360589719,0.002282736900185993
18,237.48670125926893,99.25478719443323,0.1049999999999999,0.1026,0.1074,0.0002277523337247,0.9504962192816604,0.7875443406791401,0.026553314740090497
19,250.38800283922544,106.50686691929664,0.0836,0.084,0.0832,0.0001460116581338,0.9327741020793922,0.8255072418659238,0.011506179300055753
19,320.1397973200648,139.52284668740532,0.01513671875,0.0234375,0.0068359375,0.0002094519022097,0.9881852551984844,0.9461557533448646,0.0017664790260634358
20,205.8218312349316,219.76466909033044,0.0185546875,0.00927734375,0.02783203125,0.0002163763016461,0.8707466918714529,0.9440756118289072,0.005377130502126736
20,348.90597566130697,298.3332866176694,0.0205999999999999,0.0106,0.0306,0.0001362529865693,0.9763705103969724,0.9354998527665191,0.0016704106551457287
21,250.23070936166383,134.4814964627794,0.009521484375,0.00634765625,0.0126953125,0.0001452744100939,0.8973298676748555,0.9585910650315884,0.0037529343015805863
21,314.6772261355906,148.48086952810115,0.0069,0.0074,0.0064,0.0001703045022685,0.9775519848771236,0.9611202724888186,0.00027000117201197554
22,275.8668086066445,201.19256018723257,0.02099609375,0.03369140625,0.00830078125,0.0003638582338904,0.9682183364839289,0.9370652297035693,0.0009705160620684836
22,257.02443174527474,171.94281021723154,0.0101999999999999,0.0128,0.0076,0.0001449622227063,0.9940926275992408,0.9571246055342295,0.0013666346553991597
23,337.75458633878696,183.01285187082897,0.00927734375,0.01025390625,0.00830078125,0.0001496298842987,0.9623109640831728,0.9561584070870022,3.7853957591128745e-05
23,251.3557590510598,261.44381322722074,0.0181,0.0094,0.0268,0.0001649700924885,0.9822778827977284,0.9431389489154519,0.0015318561454412127
24,230.8487331982512,119.6171321492539,0.12548828125,0.01416015625,0.23681640625,0.0001558721660167,0.3449905482041584,0.7509912436569026,0.16483656470811195
24,224.8677845874205,107.52780857420278,0.138,0.0298,0.2462,0.0002037669930192,0.4903119092627589,0.7287456069332635,0.05685062818482959
25,106.40240101992632,137.45164129792326,0.0101999999999999,0.0084,0.012,0.0003636490316071,0.9846408317580309,0.9629524931238613,0.00047038403271041035
25,215.4356220836172,178.22225809635287,0.02099609375,0.00390625,0.0380859375,0.0001488790791938,0.7844990548204136,0.9393065740671654,0.023965368015333444
26,229.8920280055933,150.69124569939885,0.0087,0.0052,0.0122,0.0002235953334198,0.8524338374291089,0.9608318311576625,0.011750125044375528
26,228.94403018509547,17.493510576837703,0.030029296875,0.04736328125,0.0126953125,0.0017859892335793,0.9469517958412068,0.9225513996071921,0.0005953793363769181
27,310.21216809647814,216.5901852580537,0.0721,0.0304,0.1138,0.000150915278777,0.929820415879014,0.8441310090919304,0.007342674435522287
27,326.91858935625186,227.6277868179083,0.064208984375,0.08984375,0.03857421875,0.0001470913716844,0.9840500945179552,0.8577955520157997,0.015940209502428592
28,225.45173929366408,100.80527155061424,0.043212890625,0.01123046875,0.0751953125,0.0004131080085591,0.7667769376181452,0.8990028448464252,0.017483690542341706
28,126.40760417134015,55.672504651627385,0.0419,0.01,0.0738,0.0010163964042193,0.7703213610585989,0.905327451218987,0.018226644380394813
29,330.0988703062876,295.2070706019093,0.0185546875,0.02490234375,0.01220703125,0.0001988376610223,0.9445888468809044,0.9397164193924777,2.3740549629975582e-05
