Qubit,T1_us,T2_us,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,x_sx_error_,p_i,p_i_pred,RSE
0,237.363640207058,60.47969240018557,0.033203125,0.0283203125,0.0380859375,0.0001734065740478,0.8855151228733432,0.9278991561331559,0.0017964062753689056
0,296.01266422162377,55.66947962356316,0.0612,0.0154,0.107,0.0003337185574513,0.8648393194706968,0.8862220426945344,0.0004572208524672442
1,158.45256790461264,306.6382369930084,0.02490234375,0.01611328125,0.03369140625,7.17078124105e-05,0.8914224952740993,0.9288211560270476,0.0013986598261141146
1,293.0859541650365,218.02048857758984,0.0686999999999999,0.032,0.1054,0.0001579015360847,0.9682183364839289,0.8692119055970817,0.009802273356952038
2,227.8750927230388,267.9119653614913,0.014892578125,0.0166015625,0.01318359375,0.0003293684085777,0.9564035916824166,0.9446099143875505,0.00013909082413544096
2,350.1354184440218,292.3047007446352,0.0073999999999999,0.0098,0.005,0.0001769940778522,0.9763705103969724,0.9566796733553928,0.00038772906339804285
3,366.2675928480455,391.6436882299018,0.023681640625,0.00927734375,0.0380859375,0.0001072344262964,0.8057655954631356,0.9294210610049021,0.015290674158350984
3,319.62785360958446,402.8027065495856,0.027,0.015,0.039,0.0007942618639421,0.9050094517958384,0.9197275408963549,0.00021662214677074345
4,172.24369977361226,171.70368343098505,0.015625,0.0126953125,0.0185546875,0.0001072341151506,0.9627835538752332,0.9490783693581891,0.0001878320826462241
4,350.8736869408533,252.53745354181584,0.0343,0.0482,0.0204,0.0006255546447642,0.9881852551984844,0.9160965164673429,0.005196786251846784
5,225.67540407570323,220.38074977243463,0.009033203125,0.00537109375,0.0126953125,8.96154926666e-05,0.9822778827977284,0.9569727400645919,0.0006403502487444138
5,90.67182520176674,132.42551394672216,0.007,0.0098,0.0042,0.0003683814200176,0.9881852551984844,0.9614938369356806,0.0007124318088799393
6,223.59246244380788,83.15010574387493,0.018798828125,0.025390625,0.01220703125,0.0002654272281749,0.990548204158787,0.948081718374421,0.0018034024148737562
6,127.79422205260616,69.26538338139814,0.0089,0.008,0.0098,0.0002681680629049,0.9763705103969724,0.9618700715441706,0.00021026272692384494
7,291.9011229003346,317.71290492372606,0.0189,0.0194,0.0184,0.0005264943040941,0.9386814744801484,0.9360522929538216,6.912595498377808e-06
7,305.1706883653607,263.1396460704861,0.009521484375,0.0087890625,0.01025390625,0.0002545484611121,0.929820415879014,0.954004153101938,0.0005848531460674396
8,263.8408658169988,177.76473334811678,0.0174999999999999,0.0068,0.0282,0.0001646276217161,0.9504962192816604,0.946685546171151,1.4521229555159551e-05
8,326.53473998060616,243.50256007339945,0.010498046875,0.0107421875,0.01025390625,0.0001774487344584,0.9999999999999968,0.9541438695151561,0.002102784703042738
9,296.85016432205566,142.871476085231,0.0050999999999999,0.0036,0.0066,0.0001317819105984,0.9593572778827948,0.9673901275558481,6.452667386987232e-05
9,406.53941390709633,173.71557353229463,0.008056640625,0.00732421875,0.0087890625,0.0001318647973293,0.9032372400756116,0.9622753661271366,0.0034855003276757584
10,362.2952834896347,239.4031000915961,0.0151,0.01,0.0202,0.0001022018257282,0.9881852551984844,0.9482829786455677,0.0015921916741054524
10,170.16594938485383,222.03664718935835,0.02197265625,0.01806640625,0.02587890625,0.0001214329576312,0.9380907372400726,0.9369228832597131,1.3638829194416857e-06
11,205.7224190331731,434.74928590199846,0.15966796875,0.15185546875,0.16748046875,0.0001759860271404,0.8825614366729652,0.7251422020056733,0.024780815443235918
11,201.47529363302263,229.8989973408266,0.1441,0.1258,0.1624,0.0002637852245137,0.9822778827977284,0.7555590664161781,0.051401421701451136
12,338.3716887812377,164.3107462057929,0.017822265625,0.01123046875,0.0244140625,0.0001279350496918,0.9787334593572748,0.9478486105426478,0.0009538738863023701
12,236.5857128954933,161.04445122616264,0.0144999999999999,0.0132,0.0158,0.0001966517342673,0.929820415879014,0.9515383364892612,0.000471668075633002
13,252.9946090284145,61.5982989786162,0.028076171875,0.01806640625,0.0380859375,0.0002414188771671,0.9881852551984844,0.9352340446775868,0.0028038306956284257
13,367.6289596855888,129.38116092632035,0.021,0.0188,0.0232,0.0001741829033762,0.9144612476370482,0.9449272038517814,0.0009281744880780434
14,276.9729936703178,122.9701473505566,0.0166015625,0.01220703125,0.02099609375,0.0002106852708509,0.9120982986767456,0.9507173843045934,0.0014914337747310383
14,187.05082065819923,117.10206255311776,0.0164999999999999,0.0146,0.0184,0.0001408424856035,0.9763705103969724,0.9505485227317617,0.0006667750469822941
15,134.99003243534105,30.72728187850089,0.0080999999999999,0.0108,0.0054,0.000703466496972,0.9940926275992408,0.9607918621590418,0.001108940978903152
15,304.941767605406,42.92847532995483,0.01220703125,0.01220703125,0.01220703125,0.0003592117090424,0.94517958412098,0.9586209301187216,0.00018066978223100426
16,252.38336309162125,16.372709835707646,0.01806640625,0.013671875,0.0224609375,0.0002968054869654,0.929820415879014,0.9498144509963118,0.0003997614402717378
16,148.275781264609,18.80196008217021,0.0171999999999999,0.0186,0.0158,0.0002529120167948,0.9940926275992408,0.9501460887738955,0.0019312982747275794
17,342.06517625741174,352.68055275755825,0.0153999999999999,0.0192,0.0116,0.000130909004173,0.8530245746691846,0.9426667996712669,0.00803572850332395
17,183.08100247970776,221.53029918683947,0.017333984375,0.01171875,0.02294921875,0.0001692053775096,0.918005671077502,0.9436784754740155,0.0006590928855816448
18,119.68547096349434,93.22240520103266,0.0166015625,0.01904296875,0.01416015625,0.0003159875488943,0.9032372400756116,0.9495278376809145,0.0021428194266560805
18,237.48670125926893,99.25478719443323,0.1049999999999999,0.1026,0.1074,0.0002277523337247,0.9504962192816604,0.8205488433875463,0.016886320501766184
