Qubit,T1_us,T2_us,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,x_sx_error_,p_i,p_i_pred,RSE
0,237.363640207058,60.47969240018557,0.033203125,0.0283203125,0.0380859375,0.0001734065740478,0.8825614366729652,0.8934839103358393,0.00011930043091617907
0,296.01266422162377,55.66947962356316,0.0612,0.0154,0.107,0.0003337185574513,0.7939508506616234,0.7942766956275418,1.0617494181434037e-07
1,158.45256790461264,306.6382369930084,0.02490234375,0.01611328125,0.03369140625,7.17078124105e-05,0.8973298676748555,0.9064652137655421,8.345454819662421e-05
1,293.0859541650365,218.02048857758984,0.0686999999999999,0.032,0.1054,0.0001579015360847,0.873700378071831,0.785503774495598,0.007778640882383184
2,227.8750927230388,267.9119653614913,0.014892578125,0.0166015625,0.01318359375,0.0003293684085777,0.9623109640831728,0.9383056063638107,0.0005762571992345417
2,350.1354184440218,292.3047007446352,0.0073999999999999,0.0098,0.005,0.0001769940778522,0.9822778827977284,0.9551363497139088,0.0007366628181400746
3,366.2675928480455,391.6436882299018,0.023681640625,0.00927734375,0.0380859375,0.0001072344262964,0.8116729678638918,0.9034687102121455,0.008426458313266981
3,319.62785360958446,402.8027065495856,0.027,0.015,0.039,0.0007942618639421,0.8589319470699407,0.8984331188682733,0.0015603425734413842
4,172.24369977361226,171.70368343098505,0.015625,0.0126953125,0.0185546875,0.0001072341151506,0.9262759924385604,0.9330299745819803,4.561627479363533e-05
4,350.8736869408533,252.53745354181584,0.0343,0.0482,0.0204,0.0006255546447642,0.9881852551984844,0.9074824183039927,0.00651294788281894
5,225.67540407570323,220.38074977243463,0.009033203125,0.00537109375,0.0126953125,8.96154926666e-05,0.9881852551984844,0.9463703340403103,0.0017484876314643153
5,90.67182520176674,132.42551394672216,0.007,0.0098,0.0042,0.0003683814200176,0.9999999999999968,0.9574499822461301,0.0018105040108543702
6,223.59246244380788,83.15010574387493,0.018798828125,0.025390625,0.01220703125,0.0002654272281749,0.905600189035914,0.9355343445447738,0.0008960536660286018
6,127.79422205260616,69.26538338139814,0.0089,0.008,0.0098,0.0002681680629049,0.9763705103969724,0.950154958446837,0.0006872551640502518
7,291.9011229003346,317.71290492372606,0.0189,0.0194,0.0184,0.0005264943040941,0.8996928166351579,0.9281580744646492,0.0008102709032994143
7,305.1706883653607,263.1396460704861,0.009521484375,0.0087890625,0.01025390625,0.0002545484611121,0.9120982986767456,0.9477623752514311,0.0012719263579250317
8,263.8408658169988,177.76473334811678,0.0174999999999999,0.0068,0.0282,0.0001646276217161,0.9682183364839289,0.9216469391111468,0.00216889505325357
8,326.53473998060616,243.50256007339945,0.010498046875,0.0107421875,0.01025390625,0.0001774487344584,0.9120982986767456,0.9466700127972807,0.001195203417232003
9,296.85016432205566,142.871476085231,0.0050999999999999,0.0036,0.0066,0.0001317819105984,0.9669187145557624,0.9575070657365056,8.857913349701836e-05
9,406.53941390709633,173.71557353229463,0.008056640625,0.00732421875,0.0087890625,0.0001318647973293,0.91150756143667,0.9515618400200028,0.0016043452328312303
10,362.2952834896347,239.4031000915961,0.0151,0.01,0.0202,0.0001022018257282,0.9623109640831728,0.9316783680538615,0.000938355939494981
10,170.16594938485383,222.03664718935835,0.02197265625,0.01806640625,0.02587890625,0.0001214329576312,0.9321833648393164,0.9179296013928055,0.0002031697723890891
11,205.7224190331731,434.74928590199846,0.15966796875,0.15185546875,0.16748046875,0.0001759860271404,0.8878780718336456,0.6130636520338554,0.07552296532989536
11,201.47529363302263,229.8989973408266,0.1441,0.1258,0.1624,0.0002637852245137,0.9940926275992408,0.6382640645673054,0.12661396626937196
12,338.3716887812377,164.3107462057929,0.017822265625,0.01123046875,0.0244140625,0.0001279350496918,0.9881852551984844,0.9248755152675895,0.004008123170117554
12,236.5857128954933,161.04445122616264,0.0144999999999999,0.0132,0.0158,0.0001966517342673,0.9233223062381825,0.9370792059572983,0.00018925228988181023
13,252.9946090284145,61.5982989786162,0.028076171875,0.01806640625,0.0380859375,0.0002414188771671,0.9881852551984844,0.899870870102727,0.007799430614841736
13,367.6289596855888,129.38116092632035,0.021,0.0188,0.0232,0.0001741829033762,0.9380907372400726,0.922289622908189,0.00024967521412925674
14,276.9729936703178,122.9701473505566,0.0166015625,0.01220703125,0.02099609375,0.0002106852708509,0.9728260869565186,0.9298682851408552,0.0018453727368338173
14,187.05082065819923,117.10206255311776,0.0164999999999999,0.0146,0.0184,0.0001408424856035,0.9734168241965944,0.9324538467239882,0.0016779655234212376
15,134.99003243534105,30.72728187850089,0.0080999999999999,0.0108,0.0054,0.000703466496972,0.9504962192816604,0.9552884506977689,2.2965481945537438e-05
15,304.941767605406,42.92847532995483,0.01220703125,0.01220703125,0.01220703125,0.0003592117090424,0.9940926275992408,0.9438156098179551,0.0025277785169797165
16,252.38336309162125,16.372709835707646,0.01806640625,0.013671875,0.0224609375,0.0002968054869654,0.8441635160680504,0.9269444083447749,0.006852676126130661
16,148.275781264609,18.80196008217021,0.0171999999999999,0.0186,0.0158,0.0002529120167948,0.9351370510396946,0.9342415606845793,8.019029761044711e-07
17,342.06517625741174,352.68055275755825,0.0153999999999999,0.0192,0.0116,0.000130909004173,0.9144612476370482,0.9386891382212413,0.000586990682159636
17,183.08100247970776,221.53029918683947,0.017333984375,0.01171875,0.02294921875,0.0001692053775096,0.9144612476370482,0.9264478164111957,0.00014367783097736788
18,119.68547096349434,93.22240520103266,0.0166015625,0.01904296875,0.01416015625,0.0003159875488943,0.8796077504725871,0.9364095714725198,0.003226446868908395
18,237.48670125926893,99.25478719443323,0.1049999999999999,0.1026,0.1074,0.0002277523337247,0.958766540642719,0.7391980003535668,0.04821034388470909
19,250.38800283922544,106.50686691929664,0.0836,0.084,0.0832,0.0001460116581338,0.9445888468809044,0.7884160332724724,0.024389947710374022
19,320.1397973200648,139.52284668740532,0.01513671875,0.0234375,0.0068359375,0.0002094519022097,0.9881852551984844,0.9448032109513721,0.0018820017630584128
20,205.8218312349316,219.76466909033044,0.0185546875,0.00927734375,0.02783203125,0.0002163763016461,0.7785916824196575,0.9203809759675776,0.020104203764818265
20,348.90597566130697,298.3332866176694,0.0205999999999999,0.0106,0.0306,0.0001362529865693,0.8825614366729652,0.9147580852421283,0.0010366241790861958
21,250.23070936166383,134.4814964627794,0.009521484375,0.00634765625,0.0126953125,0.0001452744100939,0.5777410207939495,0.9463646411113285,0.13588337345589116
21,314.6772261355906,148.48086952810115,0.0069,0.0074,0.0064,0.0001703045022685,0.9304111531190896,0.9554120902513741,0.00062504685749244
22,275.8668086066445,201.19256018723257,0.02099609375,0.03369140625,0.00830078125,0.0003638582338904,0.9528591682419628,0.9356986781792892,0.00029448241919111996
22,257.02443174527474,171.94281021723154,0.0101999999999999,0.0128,0.0076,0.0001449622227063,0.9999999999999968,0.9500136698254218,0.002498633204321626
23,337.75458633878696,183.01285187082897,0.00927734375,0.01025390625,0.00830078125,0.0001496298842987,0.9782608695652144,0.9504300181942721,0.0007745562880314822
23,251.3557590510598,261.44381322722074,0.0181,0.0094,0.0268,0.0001649700924885,0.9781427221171992,0.9216387751010728,0.003192696028401217
24,230.8487331982512,119.6171321492539,0.12548828125,0.01416015625,0.23681640625,0.0001558721660167,0.2445652173913043,0.5927544250879233,0.12123572435639927
24,224.8677845874205,107.52780857420278,0.138,0.0298,0.2462,0.0002037669930192,0.3130907372400754,0.5684745617542888,0.06522089782350653
25,106.40240101992632,137.45164129792326,0.0101999999999999,0.0084,0.012,0.0003636490316071,0.9580576559546284,0.9461483568091635,0.00014183140613617106
25,215.4356220836172,178.22225809635287,0.02099609375,0.00390625,0.0380859375,0.0001488790791938,0.7077032136105841,0.908059415089814,0.04014260747118578
26,229.8920280055933,150.69124569939885,0.0087,0.0052,0.0122,0.0002235953334198,0.802221172022682,0.9477398272138261,0.021175679008639106
26,228.94403018509547,17.493510576837703,0.030029296875,0.04736328125,0.0126953125,0.0017859892335793,0.905600189035914,0.9211534063742781,0.00024190256957439037
27,310.21216809647814,216.5901852580537,0.0721,0.0304,0.1138,0.000150915278777,0.9793241965973504,0.7734360922325185,0.04238991151894389
27,326.91858935625186,227.6277868179083,0.064208984375,0.08984375,0.03857421875,0.0001470913716844,0.9410444234404508,0.8534122359314733,0.007679400287608592
28,225.45173929366408,100.80527155061424,0.043212890625,0.01123046875,0.0751953125,0.0004131080085591,0.6509924385633253,0.8462423368340474,0.0381225227747273
28,126.40760417134015,55.672504651627385,0.0419,0.01,0.0738,0.0010163964042193,0.7136105860113402,0.8493158442821597,0.018415917122349818
29,330.0988703062876,295.2070706019093,0.0185546875,0.02490234375,0.01220703125,0.0001988376610223,0.9233223062381825,0.9344930029830006,0.00012478446576469164
29,256.4800696912566,203.81273590678435,0.0363,0.0124,0.0602,0.0001773222568844,0.9682183364839289,0.868166048484617,0.010010460333897247
30,451.54306417141504,64.82208370954781,0.009765625,0.01025390625,0.00927734375,0.0003115184437534,0.9999999999999968,0.9495728547591785,0.00254289697713858
30,204.3786849105484,68.35317153754441,0.0074999999999999,0.0076,0.0074,0.0001920389571397,0.9940926275992408,0.9541416262042512,0.001596082512462455
31,83.55821541336894,60.4872428282716,0.00830078125,0.00830078125,0.00830078125,0.0015168449695105,0.926866729678636,0.9523164194680439,0.0006476867103770912
31,201.34167046633223,55.79580215746857,0.0069,0.0078,0.006,0.0002681767619568,0.9881852551984844,0.9562149905389362,0.001022097822401558
32,274.925978146232,368.4998148193293,0.0122999999999999,0.0096,0.015,0.0001288425761862,0.9822778827977284,0.9393035953058008,0.0018467893854388505
32,199.16315807280392,229.88400733265004,0.015625,0.0126953125,0.0185546875,0.0001504423360221,0.9475425330812824,0.932622993621932,0.00022259265767911446
33,220.73033213712145,138.15604866387386,0.0157,0.023,0.0084,0.0006536185354247,0.8482986767485796,0.9426506075588645,0.008902286847628794
33,260.99290474339494,130.71509707998823,0.019775390625,0.0087890625,0.03076171875,0.0001634929853537,0.9380907372400726,0.916748535782648,0.00045548956304929686
34,220.17534149130623,165.31414586587553,0.0439,0.0286,0.0592,0.0002477562506179,0.9881852551984844,0.8599033185582493,0.0164562552681693
34,317.53349157381024,146.15783933615776,0.03271484375,0.03076171875,0.03466796875,0.0001668462671431,0.8825614366729652,0.8968748451740163,0.0002048736629179624
35,247.77640359741304,158.97399002667245,0.0161999999999999,0.0156,0.0168,0.000201851707169,0.9203686200378044,0.9340421556233004,0.00018696557540782543
35,316.3074967024734,162.78309672726076,0.015380859375,0.01123046875,0.01953125,0.0002137411655768,0.8412098298676723,0.9324863464080551,0.00833140247174676
36,137.6752875519037,199.1870372830564,0.0234999999999999,0.0122,0.0348,0.0001942662132049,0.9564035916824166,0.9078574575714163,0.0023567271371232254
36,314.3919119961733,321.6621525939768,0.01171875,0.0107421875,0.0126953125,0.0001541707803795,0.9528591682419628,0.9424104087245346,0.0001091765754530461
