Qubit,p_i
0,0.92095935727788
1,0.9623109640831728
2,0.9623109640831728
3,0.9822778827977284
4,0.9002835538752335
5,0.9940926275992408
6,0.9002835538752335
7,0.8973298676748555
8,0.8530245746691846
9,0.8943761814744774
10,0.937381852551982
11,0.9822778827977284
12,0.8589319470699407
13,0.9999999999999968
14,0.9569943289224924
15,0.9822778827977284
16,0.9528591682419628
17,0.9528591682419628
18,0.9551039697542504
19,0.9499054820415848
20,0.7998582230623795
21,0.9940926275992408
22,0.9564035916824166
23,0.9704631379962162
24,0.9203686200378044
25,0.9469517958412068
26,0.9061909262759896
27,0.902646502835536
28,0.9410444234404508
29,0.9763705103969724
30,0.9050094517958384
31,0.9623109640831728
32,0.8488894139886553
33,0.8175803402646479
34,0.9999999999999968
35,0.9940926275992408
36,0.9528591682419628
37,0.7904064272211697
38,0.8116729678638918
39,0.8116729678638918
40,0.9728260869565186
41,0.9262759924385604
42,0.9623109640831728
43,0.9416351606805264
44,0.654536862003779
45,0.9528591682419628
46,0.958766540642719
47,0.733695652173911
48,0.926866729678636
49,0.8293950850661601
50,0.9351370510396946
51,0.8589319470699407
52,0.9445888468809044
53,0.9528591682419628
54,0.9469517958412068
55,0.7502362948960282
56,0.9528591682419628
57,0.8353024574669162
58,0.9351370510396946
59,0.9564035916824166
60,0.9716446124763674
61,0.9623109640831728
62,0.9410444234404508
63,0.9528591682419628
64,0.6781663516068035
65,0.9439981096408288
66,0.9410444234404508
67,0.8353024574669162
68,0.9504962192816604
69,0.92095935727788
70,0.9499054820415848
71,0.9061909262759896
72,0.8914224952740993
73,0.9469517958412068
74,0.9174149338374262
75,0.9504962192816604
76,0.91150756143667
77,0.9469517958412068
78,0.9061909262759896
79,0.7667769376181452
80,0.2091209829867674
81,0.918005671077502
82,0.8648393194706968
83,0.9681001890359135
84,0.9032372400756116
85,0.9469517958412068
86,0.905600189035914
87,0.9881852551984844
88,0.923913043478258
89,0.9940926275992408
90,0.9002835538752335
91,0.9091446124763676
92,0.9469517958412068
93,0.9380907372400726
94,0.966446124763702
95,0.9852315689981064
96,0.9682183364839289
97,0.9623109640831728
98,0.9304111531190896
99,0.7821361058601112
100,0.9469517958412068
101,0.9351370510396946
102,0.9940926275992408
103,0.9203686200378044
104,0.9410444234404508
105,0.9775519848771236
106,0.7325141776937597
107,0.4371455576559538
108,0.9380907372400726
109,0.9999999999999968
110,0.9410444234404508
111,0.9428166351606776
112,0.91150756143667
113,0.9728260869565186
114,0.9940926275992408
115,0.9682183364839289
116,0.7407844990548184
117,0.6663516068052913
118,0.9416351606805264
119,0.9775519848771236
120,0.9682183364839289
121,0.7372400756143647
122,0.9822778827977284
123,0.7608695652173891
124,0.9321833648393164
125,0.9504962192816604
126,0.958766540642719
