"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","384.80773100671064","486.23766078571145","4.655631983589094","-0.3110632460863657","0.0027000000000000357","0.0044","0.001","1244.4444444444443","0.00013272685268479848","0","0.00013272685268479848","0.00013272685268479848","0_14:0.00888963338836235;0_1:0.0071410290579156654","0_14:561.7777777777777;0_1:561.7777777777777","true"
"1","460.15548230654355","171.8701412459624","4.534961184459214","-0.31302980539784336","0.005700000000000038","0.0086","0.0028","1244.4444444444443","0.00040098793001763083","0","0.00040098793001763083","0.00040098793001763083","1_2:0.01249624169696753","1_2:561.7777777777777","true"
"2","297.6389408350375","149.38970812380646","4.680130907609476","-0.3092563684570482","0.0046000000000000485","0.0064","0.0028","1244.4444444444443","0.0003890796801494756","0","0.0003890796801494756","0.0003890796801494756","2_3:0.015844367562907163","2_3:561.7777777777777","true"
"3","211.62128005649924","146.72567571405563","4.606645269426793","-0.25135835423971303","0.006299999999999972","0.0076","0.005","1244.4444444444443","0.00016351167344815708","0","0.00016351167344815708","0.00016351167344815708","","","true"
"4","110.63914548442315","119.10729897263317","4.462289638811538","-0.25507850560311957","0.06530000000000002","0.0712","0.0594","1244.4444444444443","0.0004795380529602348","0","0.0004795380529602348","0.0004795380529602348","4_15:0.012475730767251864;4_3:0.009237944441135348","4_15:561.7777777777777;4_3:561.7777777777777","true"
"5","445.07588572049497","440.37791080631973","4.426671484994573","-0.2804432142711162","0.012700000000000045","0.0094","0.016","1244.4444444444443","0.00021938823503080276","0","0.00021938823503080276","0.00021938823503080276","5_4:0.010935771283476697","5_4:561.7777777777777","true"
"6","274.93909720509214","147.01187276966468","4.640085568539987","-0.3108103399516748","0.01639999999999997","0.0304","0.0024","1244.4444444444443","0.00041581802997208133","0","0.00041581802997208133","0.00041581802997208133","6_5:0.006714462375014746","6_5:561.7777777777777","true"
"7","287.7388438890699","157.7930903066063","4.475688358318468","-0.2813271220492828","0.04279999999999995","0.024","0.0616","1244.4444444444443","0.0003210306202190042","0","0.0003210306202190042","0.0003210306202190042","7_6:0.025223091187638602;7_8:0.008708886806929855","7_6:561.7777777777777;7_8:561.7777777777777","true"
"8","454.8924923762133","297.7769648588041","4.4018630179435965","-0.25507427876459826","0.04490000000000005","0.0586","0.0312","1244.4444444444443","0.0007063328010428545","0","0.0007063328010428545","0.0007063328010428545","8_9:0.025015289948528363","8_9:561.7777777777777","true"
"9","118.37388492679777","159.05165351485545","4.519010537772222","-0.29730654926594685","0.017800000000000038","0.0314","0.0042","1244.4444444444443","0.0003092412718703324","0","0.0003092412718703324","0.0003092412718703324","","","true"
