Qubit,T1_us,T2_us,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,x_sx_error_,p_i,p_i_pred,RSE
0,384.8077310067106,486.23766078571145,0.0027,0.0044,0.001,0.0001327268526847,0.9723534971644582,0.9602573731392694,0.00014631621643274926
0,232.3192603398693,323.0582975949717,0.005126953125,0.00634765625,0.00390625,0.0001991776765114,0.9881852551984844,0.9432347236836611,0.0020205502834651236
1,460.1554823065436,171.8701412459624,0.0057,0.0086,0.0028,0.0004009879300176,0.958766540642719,0.9627839850535004,1.6139859593718185e-05
1,521.0552804202151,130.86193138748442,0.015869140625,0.01123046875,0.0205078125,0.000190538039894,0.9881852551984844,0.9569867867042546,0.0009733444363854496
2,297.6389408350375,149.38970812380646,0.0046,0.0064,0.0028,0.0003890796801494,0.9445888468809044,0.9508162580580267,3.878064996894816e-05
2,272.73794752613907,142.77383610540738,0.01171875,0.009765625,0.013671875,0.000131907626893,0.9144612476370482,0.9417063178006851,0.0007422938482215017
3,211.62128005649924,146.72567571405563,0.0062999999999999,0.0076,0.005,0.0001635116734481,0.9881852551984844,0.9396748931084135,0.0023532552301097956
3,249.63594857402217,142.13468228326232,0.00634765625,0.0048828125,0.0078125,9.24995750204e-05,0.9504962192816604,0.9441079383963777,4.0810132669267666e-05
4,110.63914548442315,119.10729897263316,0.0653,0.0712,0.0594,0.0004795380529602,0.8943761814744774,0.8732652595739129,0.0004456710234917345
4,541.8192633031138,227.85974291043976,0.084716796875,0.06982421875,0.099609375,0.0005581641294551,0.8648393194706968,0.894789727748629,0.0008970269560148273
5,445.07588572049497,440.3779108063197,0.0127,0.0094,0.016,0.0002193882350308,0.9763705103969724,0.9553779623035774,0.00044068707545350265
5,438.15356415087024,442.81284248188086,0.016357421875,0.0244140625,0.00830078125,0.0001755001441622,0.9564035916824166,0.9515565043678064,2.3494255435455647e-05
6,274.93909720509214,147.01187276966468,0.0163999999999999,0.0304,0.0024,0.000415818029972,0.929820415879014,0.9376371004702184,6.110055799837287e-05
6,372.895847892788,185.4006400646429,0.0126953125,0.0087890625,0.0166015625,9.25519982097e-05,0.9787334593572748,0.9501273157903424,0.0008183114497719522
7,410.7681347984127,363.2063834652582,0.005126953125,0.00390625,0.00634765625,9.83143923442e-05,0.9822778827977284,0.9599733421345849,0.0004974925341938254
7,287.7388438890699,157.7930903066063,0.0427999999999999,0.024,0.0616,0.000321030620219,0.9528591682419628,0.9147028368756954,0.0014559056233324008
8,423.20033408167046,316.26113499159607,0.15283203125,0.263671875,0.0419921875,0.057518967321455,0.8471172022684285,0.825084736627316,0.00048542954222680274
8,454.8924923762133,297.7769648588041,0.0449,0.0586,0.0312,0.0007063328010428,0.8973298676748555,0.9264163720960618,0.0008460247394448539
9,454.1564258582864,376.3262951626362,0.01416015625,0.017578125,0.0107421875,0.0001416230256928,0.9881852551984844,0.9546255641264578,0.0011262528648498626
9,118.37388492679776,159.05165351485545,0.0178,0.0314,0.0042,0.0003092412718703,0.9233223062381825,0.9177209681460943,3.137498842187807e-05
10,233.4033388653241,78.30533009331471,0.011962890625,0.01123046875,0.0126953125,0.000149263231242,0.9763705103969724,0.937078246858909,0.0015438819739446326
