Unnamed:_0,Qubit,T1_us,T2_us,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,x_sx_error_,P_Value,Zero,One,Quality,abs,abs_pred,RSE
0,0,237.363640207058,60.47969240018557,0.033203125,0.0283203125,0.0380859375,0.0001734065740478,3.631792053726033e-23,38598,41402,0,2804,2177,393129
1,0,296.01266422162377,55.66947962356316,0.0612,0.0154,0.107,0.0003337185574513,1.1224297172983089e-29,38400,41600,0,3200,4366,1359556
2,1,158.45256790461264,306.6382369930084,0.02490234375,0.01611328125,0.03369140625,7.17078124105e-05,2.375298071559632e-19,38728,41272,0,2544,1832,506944
3,1,293.0859541650365,218.02048857758984,0.0686999999999999,0.032,0.1054,0.0001579015360847,0.3187545296449681,39859,40141,1,282,4452,17388900
4,2,227.8750927230388,267.9119653614913,0.014892578125,0.0166015625,0.01318359375,0.0003293684085777,0.904318259607774,39983,40017,1,34,1266,1517824
5,2,350.1354184440218,292.3047007446352,0.0073999999999999,0.0098,0.005,0.0001769940778522,4.2189365240058034e-12,40980,39020,0,1960,843,1247689
6,3,366.2675928480455,391.6436882299018,0.023681640625,0.00927734375,0.0380859375,0.0001072344262964,4.83189623957836e-57,37749,42251,0,4502,1905,6744409
7,3,319.62785360958446,402.8027065495856,0.027,0.015,0.039,0.0007942618639421,1.2358214332363416e-31,38345,41655,0,3310,2297,1026169
8,4,172.24369977361226,171.70368343098505,0.015625,0.0126953125,0.0185546875,0.0001072341151506,2.838231700690588e-05,39408,40592,0,1184,1301,13689
9,4,350.8736869408533,252.53745354181584,0.0343,0.0482,0.0204,0.0006255546447642,0.0001097883232382,40547,39453,0,1094,2036,887364
10,5,225.67540407570323,220.38074977243463,0.009033203125,0.00537109375,0.0126953125,8.96154926666e-05,0.9661587776582644,39994,40006,1,12,1004,984064
11,5,90.67182520176674,132.42551394672216,0.007,0.0098,0.0042,0.0003683814200176,0.7131002767842509,39948,40052,1,104,896,627264
12,6,223.59246244380788,83.15010574387493,0.018798828125,0.025390625,0.01220703125,0.0002654272281749,0.2081567531855047,39822,40178,1,356,1319,927369
13,6,127.79422205260616,69.26538338139814,0.0089,0.008,0.0098,0.0002681680629049,0.9099218741589818,40016,39984,1,32,1017,970225
14,7,291.9011229003346,317.71290492372606,0.0189,0.0194,0.0184,0.0005264943040941,0.0178455284733929,39665,40335,1,670,1557,786769
15,7,305.1706883653607,263.1396460704861,0.009521484375,0.0087890625,0.01025390625,0.0002545484611121,1.0976085386345446e-18,38752,41248,0,2496,1037,2128681
16,8,263.8408658169988,177.76473334811678,0.0174999999999999,0.0068,0.0282,0.0001646276217161,0.0004649465910044,40495,39505,0,990,1569,335241
17,8,326.53473998060616,243.50256007339945,0.010498046875,0.0107421875,0.01025390625,0.0001774487344584,0.6106702988713358,40072,39928,1,144,1029,783225
18,9,296.85016432205566,142.871476085231,0.0050999999999999,0.0036,0.0066,0.0001317819105984,0.0092640524466373,39632,40368,0,736,797,3721
19,9,406.53941390709633,173.71557353229463,0.008056640625,0.00732421875,0.0087890625,0.0001318647973293,6.728138415221104e-11,39077,40923,0,1846,918,861184
20,10,362.2952834896347,239.4031000915961,0.0151,0.01,0.0202,0.0001022018257282,0.2005932259666371,39819,40181,1,362,1318,913936
21,10,170.16594938485383,222.03664718935835,0.02197265625,0.01806640625,0.02587890625,0.0001214329576312,1.3070667257073168e-08,39196,40804,0,1608,1619,121
22,11,205.7224190331731,434.74928590199846,0.15966796875,0.15185546875,0.16748046875,0.0001759860271404,8.5215305668752135e-19,38748,41252,0,2504,8062,30891364
23,11,201.47529363302263,229.8989973408266,0.1441,0.1258,0.1624,0.0002637852245137,0.4927802203336367,39903,40097,1,194,7595,54774801
24,12,338.3716887812377,164.3107462057929,0.017822265625,0.01123046875,0.0244140625,0.0001279350496918,0.2238997316764433,39828,40172,1,344,1485,1301881
25,12,236.5857128954933,161.04445122616264,0.0144999999999999,0.0132,0.0158,0.0001966517342673,0.0001593988311675,39466,40534,0,1068,1253,34225
26,13,252.9946090284145,61.5982989786162,0.028076171875,0.01806640625,0.0380859375,0.0002414188771671,0.3654141708778586,40128,39872,1,256,2074,3305124
27,13,367.6289596855888,129.38116092632035,0.021,0.0188,0.0232,0.0001741829033762,2.4273850932808808e-12,39009,40991,0,1982,1561,177241
28,14,276.9729936703178,122.9701473505566,0.0166015625,0.01220703125,0.02099609375,0.0002106852708509,0.103876157063085,40230,39770,1,460,1419,919681
29,14,187.05082065819923,117.10206255311776,0.0164999999999999,0.0146,0.0184,0.0001408424856035,0.7664780770178965,40042,39958,1,84,1334,1562500
30,15,134.99003243534105,30.72728187850089,0.0080999999999999,0.0108,0.0054,0.000703466496972,9.89673462524562e-06,39375,40625,0,1250,1089,25921
31,15,304.941767605406,42.92847532995483,0.01220703125,0.01220703125,0.01220703125,0.0003592117090424,0.0008452233592249,39528,40472,0,944,1189,60025
