Unnamed:_0,Qubit,T1_us,T2_us,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,x_sx_error_,P_Value,Zero,One,Quality,abs,abs_pred,RSE
0,0,296.01266422162377,55.66947962356316,0.0612,0.0154,0.107,0.0003337185574513,6.913608981505113e-42,18644,21356,0,2712,2807,9025
1,0,237.363640207058,60.47969240018557,0.033203125,0.0283203125,0.0380859375,0.0001734065740478,1.572832296627208e-21,19047,20953,0,1906,1354,304704
2,1,293.0859541650365,218.02048857758984,0.0686999999999999,0.032,0.1054,0.0001579015360847,3.18247594381644e-05,19584,20416,0,832,2955,4507129
3,1,158.45256790461264,306.6382369930084,0.02490234375,0.01611328125,0.03369140625,7.17078124105e-05,1.1632970564123223e-14,19228,20772,0,1544,1116,183184
4,2,350.1354184440218,292.3047007446352,0.0073999999999999,0.0098,0.005,0.0001769940778522,0.3575727592287434,20092,19908,1,184,380,38416
5,2,227.8750927230388,267.9119653614913,0.014892578125,0.0166015625,0.01318359375,0.0003293684085777,0.0085384868181787,19737,20263,0,526,646,14400
6,3,319.62785360958446,402.8027065495856,0.027,0.015,0.039,0.0007942618639421,1.3606623081547954e-14,19230,20770,0,1540,1226,98596
7,3,366.2675928480455,391.6436882299018,0.023681640625,0.00927734375,0.0380859375,0.0001072344262964,1.0670673966145643e-24,18974,21026,0,2052,1141,829921
8,4,350.8736869408533,252.53745354181584,0.0343,0.0482,0.0204,0.0006255546447642,0.6241338988347811,19951,20049,1,98,1165,1138489
9,4,172.24369977361226,171.70368343098505,0.015625,0.0126953125,0.0185546875,0.0001072341151506,1.7867311825654013e-05,19571,20429,0,858,727,17161
10,5,90.67182520176674,132.42551394672216,0.007,0.0098,0.0042,0.0003683814200176,0.0718606382258516,19820,20180,1,360,362,4
11,5,225.67540407570323,220.38074977243463,0.009033203125,0.00537109375,0.0126953125,8.96154926666e-05,0.7188471335640175,19964,20036,1,72,509,190969
12,6,127.79422205260616,69.26538338139814,0.0089,0.008,0.0098,0.0002681680629049,0.74896833055336,20032,19968,1,64,471,165649
13,6,223.59246244380788,83.15010574387493,0.018798828125,0.025390625,0.01220703125,0.0002654272281749,1.2983912857226726e-06,19516,20484,0,968,721,61009
14,7,305.1706883653607,263.1396460704861,0.009521484375,0.0087890625,0.01025390625,0.0002545484611121,1.079270634405846e-12,19288,20712,0,1424,491,870489
15,7,291.9011229003346,317.71290492372606,0.0189,0.0194,0.0184,0.0005264943040941,0.9441936596389576,20007,19993,1,14,798,614656
16,8,326.53473998060616,243.50256007339945,0.010498046875,0.0107421875,0.01025390625,0.0001774487344584,0.841480581121794,20020,19980,1,40,512,222784
17,8,263.8408658169988,177.76473334811678,0.0174999999999999,0.0068,0.0282,0.0001646276217161,0.00560562926553,20277,19723,0,554,884,108900
18,9,406.53941390709633,173.71557353229463,0.008056640625,0.00732421875,0.0087890625,0.0001318647973293,1.3006244401985606e-05,19564,20436,0,872,440,186624
