Qubit,T1_us,T2_us,Frequency_GHz,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,ID_error_,One,One_pred,RSE
0,237.363640207058,56.15568898730043,4.721902677319062,0.027587890625,0.02587890625,0.029296875,0.0002079075843089,584,341,59049
1,330.8840002634665,400.1730348123477,4.815134641050472,0.024169921875,0.01416015625,0.0341796875,0.0001064855756541,366,341,625
2,271.9501455176158,329.1881452824404,4.609656217102,0.01123046875,0.01953125,0.0029296875,0.0002544077906559,99,100,1
3,359.9884567591741,273.0898220422848,4.875544793836765,0.02783203125,0.01123046875,0.04443359375,0.0002072569068531,1072,428,414736
4,260.9619722218869,237.8143411286274,4.818171606460125,0.016845703125,0.0126953125,0.02099609375,0.0001279301912217,316,228,7744
5,225.67540407570323,456.675644589406,4.734147294809622,0.00537109375,0.00439453125,0.00634765625,0.0001085240192518,122,77,2025
6,228.29512014782603,89.67699258749929,4.8762616534145815,0.011474609375,0.001953125,0.02099609375,0.000129213721309,91,194,10609
7,305.1706883653607,230.68943905924905,4.967506205068967,0.01708984375,0.01904296875,0.01513671875,0.0008604419146665,300,196,10816
8,299.2168460769973,242.83690892034505,4.902356609666396,0.0126953125,0.01123046875,0.01416015625,0.0001220772053171,139,160,441
9,293.402144301336,168.69987316780913,4.987236832359987,0.0087890625,0.005859375,0.01171875,0.0001436888356712,82,120,1444
10,333.58155811769484,237.2992844722248,4.831526632902481,0.02197265625,0.01416015625,0.02978515625,0.0001652099073648,465,302,26569
11,205.7224190331731,434.74928590199846,4.972384377890068,0.151123046875,0.14599609375,0.15625,0.0002040935432486,3009,343,7107556
12,346.21456142407595,181.70375562774169,4.936322733129823,0.036865234375,0.03955078125,0.0341796875,0.0006693316525504,371,443,5184
13,282.24464429147605,110.35106001775098,5.005805031453484,0.023681640625,0.01904296875,0.0283203125,0.0002278522912368,596,309,82369
14,254.2182980183185,105.76769388813815,4.903345893794462,0.017333984375,0.01806640625,0.0166015625,0.0002369040673901,344,212,17424
15,304.941767605406,36.3037351886457,4.947902354688534,0.0068359375,0.00732421875,0.00634765625,0.0004723598869707,123,79,1936
16,309.3678055128772,17.005516850148243,4.960332290011339,0.026611328125,0.03564453125,0.017578125,0.0055087559128532,205,277,5184
17,226.5013323095532,302.992617225999,4.82081795726768,0.017578125,0.0107421875,0.0244140625,0.0002634669511671,188,253,4225
18,328.68272919853706,113.3655202707611,4.788131983886611,0.025390625,0.0166015625,0.0341796875,0.0001131598886651,599,350,62001
19,249.0192465492776,119.02528396286954,4.747017068303384,0.018310546875,0.02490234375,0.01171875,0.0019931207987845,210,199,121
20,205.8218312349316,269.6620057265823,4.862343954441019,0.031005859375,0.013671875,0.04833984375,0.0001322834941014,634,423,44521
21,144.91291165778009,112.53772655869568,4.966491462486027,0.010009765625,0.0126953125,0.00732421875,0.0006951075045149,101,132,961
22,277.0962430504157,115.59977056782212,5.038183726073494,0.01220703125,0.00927734375,0.01513671875,0.0001874857035794,180,164,256
23,372.2948972658603,193.8576485790228,4.844971763162721,0.0185546875,0.0146484375,0.0224609375,0.0002797182459924,150,235,7225
24,230.8487331982512,119.6171321492539,5.100796647846751,0.140625,0.01904296875,0.26220703125,0.0001641841511193,5073,547,20484676
25,215.4356220836172,180.1509068250388,4.945218091312783,0.0166015625,0.0078125,0.025390625,0.0005074232022641,291,252,1521
26,228.94403018509547,15.897392948033955,4.854111516835544,0.020751953125,0.03125,0.01025390625,0.0016851274117798,217,215,4
27,326.91858935625186,188.7217330944689,4.747630808951398,0.060791015625,0.05810546875,0.0634765625,0.000151000601787,1054,797,66049
28,272.66812841560784,102.95893739439768,4.994425320305479,0.04052734375,0.01171875,0.0693359375,0.0002874414170759,1683,602,1168561
29,339.6536110784311,383.5439954410244,4.628640286241771,0.0205078125,0.017578125,0.0234375,0.0001262973008484,500,258,58564
30,415.1346126110829,66.85963334471003,4.732961874564149,0.010986328125,0.01171875,0.01025390625,0.0001956894126311,110,115,25
31,211.7764349541417,57.70133244921788,4.7976462082641484,0.01025390625,0.0087890625,0.01171875,0.0015051190785234,142,144,4
32,191.4968396540443,253.6663635542624,4.910378065392481,0.011474609375,0.01318359375,0.009765625,0.0002452940560473,139,148,81
33,251.7174688217595,76.3839850782129,4.973182732835734,0.0078125,0.005859375,0.009765625,0.0003991456112005,173,109,4096
34,302.73367525114344,161.65139747456166,4.678641966551481,0.02685546875,0.02490234375,0.02880859375,9.13265561182e-05,457,334,15129
35,336.1629792362993,155.7983920043199,4.907598896534122,0.01953125,0.01416015625,0.02490234375,0.0001707561171135,296,258,1444
36,293.03329869548344,331.07475045775266,4.8123082807478825,0.0146484375,0.0126953125,0.0166015625,0.0001984853645663,150,187,1369
37,265.863681091056,128.60406675308909,4.837894393553266,0.0146484375,0.015625,0.013671875,0.0001202265950091,223,177,2116
38,319.9772161574434,86.68383708122336,4.776678184992504,0.03076171875,0.0400390625,0.021484375,0.0004839282447327,265,326,3721
39,326.5825989356267,143.2714949733445,4.917346245321631,0.020751953125,0.009765625,0.03173828125,0.0002070936219992,699,302,157609
40,141.29562838686076,31.183932991882195,4.868232928282459,0.02001953125,0.01904296875,0.02099609375,0.0002235835717192,189,267,6084
41,246.62591526881147,187.9798730198992,4.935538218643918,0.01171875,0.0078125,0.015625,0.000173844611261,89,168,6241
42,272.7526331775126,141.5319550389583,5.063929789687057,0.014892578125,0.01171875,0.01806640625,0.0002285081770567,176,198,484
43,248.4698949241165,222.1389557054206,4.8295569164978085,0.012939453125,0.0078125,0.01806640625,0.0001511615821194,183,188,25
44,275.7443747518972,19.266409180889664,4.949164241313063,0.022216796875,0.0185546875,0.02587890625,0.0003599711507656,460,287,29929
45,102.98731307735318,16.401743401528297,4.999580971637449,0.052490234375,0.05078125,0.05419921875,0.0016865691704161,1099,409,476100
46,261.86814802648,232.6260796485051,4.853130969425559,0.01171875,0.00830078125,0.01513671875,0.000222353470577,241,163,6084
47,129.35610613750794,113.9367780650027,4.7695450174048855,0.00830078125,0.00732421875,0.00927734375,0.0002185957680394,121,130,81
48,62.26566207095508,32.394453709696165,4.84417184222074,0.013916015625,0.015625,0.01220703125,0.0003505458354842,247,198,2401
49,305.9681735174217,57.23823474391232,4.697329299117465,0.01123046875,0.01123046875,0.01123046875,0.0002992623636025,202,134,4624
50,171.09087821155805,40.31308723896935,4.784035464937757,0.013671875,0.0126953125,0.0146484375,0.0004104669262666,227,191,1296
51,246.8843105023712,271.88004980456026,4.931186235381718,0.04052734375,0.0517578125,0.029296875,0.0002084852775339,308,430,14884
52,190.0489967128487,156.70664113115905,4.915268430390562,0.009765625,0.0087890625,0.0107421875,0.0001722297571875,170,139,961
53,263.54303925629773,271.26721608507387,4.9966237696299975,0.0205078125,0.0078125,0.033203125,0.0001446753402603,166,309,20449
54,258.3418240328748,178.32264512522826,4.969570245276567,0.018798828125,0.01953125,0.01806640625,0.000253196166979,246,229,289
55,285.5782739218013,117.66190425399836,4.837203933582183,0.020751953125,0.0166015625,0.02490234375,0.000163445544833,266,271,25
56,225.2430920871339,168.80283938325397,4.814528965038665,0.0185546875,0.0107421875,0.0263671875,0.0001902589238968,276,268,64
57,184.60236656785423,120.60502632376613,4.927640374251396,0.016357421875,0.02197265625,0.0107421875,0.0005622029081367,135,192,3249
58,296.3182208969818,202.72210051883167,4.886982906080825,0.010986328125,0.01513671875,0.0068359375,0.0001223044765955,180,113,4489
59,203.2104608506835,39.33243161514659,4.971237207253558,0.014892578125,0.01416015625,0.015625,0.0002786921573284,196,199,9
60,283.53208896907734,99.38652701652956,4.766263941915732,0.021484375,0.02294921875,0.02001953125,0.0003680251251876,292,254,1444
61,191.19389818063803,106.49659739467126,4.793797576197544,0.009521484375,0.01318359375,0.005859375,0.0006646200464474,207,113,8836
62,195.31137181949708,194.3931421036672,4.9352218386952265,0.030029296875,0.0078125,0.05224609375,0.0002230989689181,344,426,6724
63,224.4788640415433,192.009360925476,5.041617560912233,0.015380859375,0.013671875,0.01708984375,0.000217566237274,141,205,4096
64,200.0776259802877,169.14720855129983,4.821570711309947,0.008544921875,0.00830078125,0.0087890625,0.0002455299467463,128,118,100
65,264.7953047491196,102.77219734243236,4.957161136564158,0.01220703125,0.0078125,0.0166015625,0.0001729431474305,177,173,16
66,281.8724248197628,226.0005396816384,4.885006385781491,0.010986328125,0.0078125,0.01416015625,0.0002135935567436,162,150,144
67,197.21898070581028,126.5795700028202,5.113937228132005,0.0439453125,0.0361328125,0.0517578125,0.0002486763384687,673,486,34969
