Qubit,T1_us,Frequency_GHz,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,ID_error_,One,One_pred,RSE
0,232.3192603398693,4.655635272447966,0.005126953125,0.00634765625,0.00390625,0.0001991776765114,77,68,81
1,521.0552804202151,4.5349600609448295,0.015869140625,0.01123046875,0.0205078125,0.000190538039894,253,228,625
2,272.73794752613907,4.680131009856867,0.01171875,0.009765625,0.013671875,0.000131907626893,177,214,1369
3,249.63594857402217,4.606646979039873,0.00634765625,0.0048828125,0.0078125,9.24995750204e-05,56,126,4900
4,541.8192633031138,4.462321218561688,0.084716796875,0.06982421875,0.099609375,0.0005581641294551,1607,1426,32761
5,438.15356415087024,4.42668270528158,0.016357421875,0.0244140625,0.00830078125,0.0001755001441622,240,114,15876
6,372.895847892788,4.64008281369921,0.0126953125,0.0087890625,0.0166015625,9.25519982097e-05,258,221,1369
7,410.7681347984127,4.475705728229978,0.005126953125,0.00390625,0.00634765625,9.83143923442e-05,65,78,169
8,423.20033408167046,4.401861321822477,0.15283203125,0.263671875,0.0419921875,0.057518967321455,542,900,128164
9,454.1564258582864,4.519007019080786,0.01416015625,0.017578125,0.0107421875,0.0001416230256928,95,135,1600
10,233.4033388653241,4.62836418888635,0.011962890625,0.01123046875,0.0126953125,0.000149263231242,174,215,1681
11,242.6215792943725,4.571519071168392,0.004638671875,0.005859375,0.00341796875,0.0002078364101893,59,59,0
12,378.7884970988112,4.464334996120773,0.017822265625,0.0146484375,0.02099609375,0.0001044694326597,256,283,729
13,446.8310757521897,4.573358602102173,0.0263671875,0.0224609375,0.0302734375,0.0002448923424111,438,385,2809
14,277.3241490267648,4.603980299498701,0.005126953125,0.0068359375,0.00341796875,0.0001521463069938,94,56,1444
15,380.5148007759491,4.495946525908636,0.0263671875,0.0146484375,0.0380859375,0.0005410877531115,349,515,27556
16,421.7006835936474,4.513223181798372,0.03125,0.0224609375,0.0400390625,0.0001224419363492,381,527,21316
17,413.9342007875416,4.675767300097434,0.058837890625,0.0634765625,0.05419921875,0.0003925617269211,121,797,456976
18,433.1155608043481,4.514795714933109,0.005126953125,0.00830078125,0.001953125,0.0002011995683007,53,27,676
19,333.4311638524518,4.4441347767072665,0.036376953125,0.03466796875,0.0380859375,0.0002530893888037,588,574,196
20,339.0853438381704,4.341294259686809,0.03759765625,0.0380859375,0.037109375,0.0001372428937304,818,559,67081
21,460.1333054724943,4.485177985261963,0.013427734375,0.01025390625,0.0166015625,0.0001612039165746,137,197,3600
22,357.88071469841464,4.382948254031234,0.01708984375,0.01318359375,0.02099609375,0.0014673078659458,231,290,3481
23,366.3085538123374,4.531768252492845,0.019287109375,0.025390625,0.01318359375,8.93210573995e-05,471,193,77284
24,279.97420964851904,4.646177450751882,0.03515625,0.03662109375,0.03369140625,0.0005624431509975,425,548,15129
25,233.1146118369276,4.702185054472153,0.008056640625,0.0078125,0.00830078125,0.0001205871463051,189,140,2401
26,219.62803350377453,4.648806260185732,0.014404296875,0.0107421875,0.01806640625,0.000557874937009,316,309,49
27,332.557869074629,4.6100373361671485,0.02978515625,0.0234375,0.0361328125,0.000294284489091,616,531,7225
28,162.32937852863975,4.516881051400209,0.010009765625,0.0087890625,0.01123046875,0.0002304421589034,398,213,34225
29,370.3552342447836,4.460020844142292,0.013427734375,0.01611328125,0.0107421875,0.0001324387905479,126,151,625
30,261.38301339728554,4.646542416561139,0.080078125,0.076171875,0.083984375,0.0008176402826895,1288,1455,27889
31,329.44374555262414,4.612997525558622,0.009521484375,0.01611328125,0.0029296875,0.0006914961450172,39,52,169
32,320.63676515264206,4.499279735427995,0.04248046875,0.0439453125,0.041015625,0.0001690132228895,29,639,372100
33,391.2205240158313,4.596925255173368,0.002197265625,0.00244140625,0.001953125,0.0001092971398293,63,25,1444
34,365.1162427283113,4.5619630254486525,0.011962890625,0.01123046875,0.0126953125,0.0002365012759284,258,174,7056
35,309.52736654464366,4.721871736688125,0.00927734375,0.01123046875,0.00732421875,0.0003072093656103,101,112,121
36,345.941238680082,4.608021917593615,0.008544921875,0.01171875,0.00537109375,0.0002181763292606,74,80,36
37,420.7135575419307,4.497759303444013,0.02734375,0.0185546875,0.0361328125,0.0013922170531645,143,470,106929
38,491.32913577783,4.475497030707271,0.0087890625,0.01025390625,0.00732421875,0.0009704633228652,58,85,729
39,483.4137225482638,4.504426818463584,0.010009765625,0.0146484375,0.00537109375,0.0011112661171307,93,67,676
40,337.3254197904221,4.464346954482616,0.019287109375,0.029296875,0.00927734375,0.0006658792618911,154,149,25
41,290.2414667123466,4.575899456337658,0.00390625,0.0048828125,0.0029296875,0.0001369076791353,42,46,16
42,283.23425009827747,4.641377058495645,0.002197265625,0.0029296875,0.00146484375,0.0001708036336303,25,23,4
43,316.58631167489835,4.523122478810126,0.00244140625,0.0029296875,0.001953125,0.0001554790372631,12,29,289
44,39.69521016980303,4.594565881322674,0.061767578125,0.07080078125,0.052734375,0.0006410913717374,1649,1119,280900
45,226.9641046870836,4.630447143134969,0.0048828125,0.0048828125,0.0048828125,0.0001978502496521,37,83,2116
46,369.1163126264596,4.710121321558778,0.00390625,0.00439453125,0.00341796875,0.0005694031232303,82,46,1296
47,382.95928050822,4.68071391851429,0.038818359375,0.02685546875,0.05078125,0.001017780240402,348,711,131769
48,287.6713075816916,4.625121630011132,0.00390625,0.005859375,0.001953125,0.0002050934362658,24,33,81
49,232.89342563742764,4.581944634808985,0.016845703125,0.01611328125,0.017578125,0.0002263825024575,212,299,7569
50,373.507132808728,4.457761736687909,0.006103515625,0.0087890625,0.00341796875,0.0001690641294492,125,49,5776
51,257.80816089543686,4.565359230792748,0.058349609375,0.0517578125,0.06494140625,0.0001969247301152,1283,1100,33489
52,289.8840118276489,4.444492261599254,0.093505859375,0.087890625,0.09912109375,0.0004467187878395,1604,1701,9409
53,391.3459219852715,4.6219994287005575,0.0087890625,0.0078125,0.009765625,0.0001176309001583,144,127,289
54,302.46170045346724,4.501328954071678,0.0107421875,0.01220703125,0.00927734375,0.0002406773299573,174,142,1024
55,357.1161090057925,4.68630821510825,0.02734375,0.02490234375,0.02978515625,0.0001377291214908,583,426,24649
56,180.6980995857901,4.553684365856892,0.0078125,0.01318359375,0.00244140625,0.0003347842737957,35,55,400
57,260.5170626943087,4.639602516597543,0.005615234375,0.00927734375,0.001953125,0.0004308096791631,36,37,1
58,268.3215994955801,4.60946304615982,0.0048828125,0.00537109375,0.00439453125,0.0005912960816771,114,70,1936
59,322.7154051717627,4.769975013661054,0.0078125,0.0068359375,0.0087890625,0.0001885712186463,179,126,2809
60,273.038109686163,4.517593135842361,0.00927734375,0.0166015625,0.001953125,0.0001593658435641,30,43,169
61,307.51754275427044,4.689248772804392,0.0146484375,0.0107421875,0.0185546875,0.0002192863439092,112,274,26244
62,287.10008549526685,4.647032945795505,0.0458984375,0.037109375,0.0546875,0.0006862939039704,720,876,24336
63,188.82752787332217,4.507498945047103,0.00341796875,0.0048828125,0.001953125,0.0004465806588605,77,38,1521
64,238.34578009384333,4.463136882358871,0.00439453125,0.00732421875,0.00146484375,0.0002218226419547,62,29,1089
65,304.50386780018,4.615247970744875,0.014892578125,0.0126953125,0.01708984375,0.0001595588062125,230,256,676
66,368.5414334641853,4.65059001062154,0.016357421875,0.0146484375,0.01806640625,0.001581173670396,478,248,52900
67,270.23254829586847,4.714524674360319,0.009765625,0.0078125,0.01171875,0.0001996132772816,118,183,4225
68,364.7503753481034,4.61275211420758,0.017578125,0.0205078125,0.0146484375,0.0002094703105392,199,208,81
69,305.5324263077249,4.551434297370397,0.004638671875,0.00244140625,0.0068359375,0.0001463196991432,30,98,4624
70,317.9991373410623,4.711920583768122,0.00390625,0.00439453125,0.00341796875,0.000173654537704,67,50,289
71,242.54143052777297,4.545964791536643,0.072998046875,0.06640625,0.07958984375,0.000399209245015,1494,1391,10609
72,302.83515004904405,4.576607085712208,0.002197265625,0.0029296875,0.00146484375,0.0001422561846458,10,23,169
73,268.47921976647893,4.822086578954405,0.04638671875,0.02978515625,0.06298828125,0.0001871619264733,1184,1023,25921
74,328.2079023612338,4.609668885246343,0.075927734375,0.05859375,0.09326171875,8.1053655144e-05,1235,1495,67600
75,260.79589607747624,4.787403938100907,0.001708984375,0.00146484375,0.001953125,0.0002465651296673,12,31,361
76,313.8197744101741,4.6833483435087935,0.01025390625,0.01025390625,0.01025390625,0.0002320911375983,234,152,6724
77,248.14444588697103,4.576655747617615,0.019287109375,0.015625,0.02294921875,0.0007022163033672,423,377,2116
78,348.71922727679066,4.483440843265224,0.02099609375,0.01318359375,0.02880859375,9.93178149416e-05,715,403,97344
79,263.96968231396505,4.570718487887879,0.037109375,0.03076171875,0.04345703125,0.0006509555042448,2790,711,4322241
80,5.021048881124914,4.600550742187894,0.3388671875,0.3310546875,0.3466796875,0.0885950813553599,5742,5796,2916
81,257.07909896788664,4.498656858993929,0.029296875,0.021484375,0.037109375,0.0001925118909577,709,604,11025
82,269.13251120851544,4.602406519823443,0.01708984375,0.0126953125,0.021484375,0.0003809823861672,51,339,82944
83,358.3192606582139,4.636415384588624,0.009765625,0.013671875,0.005859375,0.0002866690497528,159,86,5329
84,286.6296465611215,4.7496132007690255,0.007568359375,0.005859375,0.00927734375,0.0001199596074284,106,140,1156
85,401.7101445145971,4.586930382862167,0.011474609375,0.01806640625,0.0048828125,0.0006883572177574,22,72,2500
86,163.65268560981198,4.756417566120093,0.048828125,0.05029296875,0.04736328125,0.0005439387892911,370,910,291600
87,178.37997858171917,4.725090305849684,0.017822265625,0.01611328125,0.01953125,0.0005957033542664,317,362,2025
88,216.0645527034931,4.566474882463717,0.017822265625,0.01953125,0.01611328125,0.0003032206348778,357,286,5041
89,331.9744611221458,4.796715587215995,0.0546875,0.05322265625,0.05615234375,0.0004524311708951,994,877,13689
90,195.00876057980625,4.704268398003345,0.010009765625,0.0166015625,0.00341796875,0.0002190250487624,40,74,1156
91,369.5017952099124,4.709002158645239,0.026611328125,0.0498046875,0.00341796875,0.0014319274557349,116,80,1296
92,262.85092965893074,4.729509951403585,0.017822265625,0.0166015625,0.01904296875,0.000159724481815,382,308,5476
93,233.56684935476505,4.678319756197905,0.01611328125,0.0185546875,0.013671875,0.0005981727881522,159,237,6084
94,141.13282523637605,4.876114031983532,0.020751953125,0.013671875,0.02783203125,0.0002679545425969,542,537,25
95,296.2320920143454,4.597080023832444,0.015625,0.01513671875,0.01611328125,0.0001696589151785,444,247,38809
96,272.7770101292638,4.73305674623474,0.00048828125,0.0,0.0009765625,0.0001358215634659,10,14,16
97,210.3125081796423,4.806810877688,0.003173828125,0.00390625,0.00244140625,0.0001538612555039,40,44,16
98,235.9431887514776,4.608984335718255,0.009521484375,0.009765625,0.00927734375,0.0003175245149909,65,157,8464
99,145.43839197761775,4.574502340882399,0.014892578125,0.025390625,0.00439453125,0.001068686398115,47,108,3721
100,257.64551756554295,4.647314826905634,0.010498046875,0.00927734375,0.01171875,0.000212174872639,141,189,2304
101,252.84203280104765,4.724305279055074,0.029052734375,0.02197265625,0.0361328125,0.0002012492661926,917,593,104976
102,232.0533422019683,4.6043121756044165,0.017822265625,0.0185546875,0.01708984375,0.0001744874282432,271,294,529
103,221.30629249283987,4.664322306132088,0.004150390625,0.0068359375,0.00146484375,0.0001330419727779,13,30,289
104,166.9576065317592,4.80223397951428,0.007080078125,0.00732421875,0.0068359375,0.0003356683496706,113,130,289
105,263.8455813315325,4.739906362619087,0.005126953125,0.0068359375,0.00341796875,0.0005283902590882,121,57,4096
106,70.08541235407526,4.710497380592889,0.066162109375,0.0458984375,0.08642578125,0.000636440147991,1586,1741,24025
107,289.39939635527867,4.615491282739165,0.00439453125,0.0029296875,0.005859375,0.0002589647357046,28,87,3481
108,417.2185155846806,4.546225666494254,0.00634765625,0.00732421875,0.00537109375,0.0001503982653046,94,68,676
109,138.48014827677616,4.875206007915592,0.428466796875,0.8251953125,0.03173828125,0.0013902898543086,1474,1394,6400
110,284.60125308037925,4.805827261970676,0.012451171875,0.01953125,0.00537109375,0.0002041000831393,55,95,1600
111,172.17888450573477,4.768733688493527,0.014892578125,0.01416015625,0.015625,0.0002664216694962,460,294,27556
112,326.8011070775112,4.58364870124224,0.00732421875,0.00634765625,0.00830078125,0.0001701355433513,132,118,196
113,258.39043541213294,4.655648653757742,0.017333984375,0.01318359375,0.021484375,0.0002354936985733,1107,345,580644
114,249.4315119588453,4.781726469182359,0.01171875,0.00732421875,0.01611328125,0.0004177037792742,427,259,28224
