		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 4.867188	M = 2500	N = 8	m = 9	n = 20000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    2    3    4    3    2    3    3    2  8.337739 0.401193 SUCCESS   0
000000011    3    6    5    7    4    2    3    3  5.355520 0.718989 SUCCESS   1
000000101    5    5    4    5    4    6    4    5  0.764690 0.999343 SUCCESS   2
000000111    3    9    5    9    5    6    2    6 10.267410 0.246757 SUCCESS   3
000001001    1    3    5    7    5    7    7    5  6.808566 0.557421 SUCCESS   4
000001011    8    4    5    6    3    5    6    5  3.531766 0.896710 SUCCESS   5
000001101    2    6   11    6    3    4    3    7 12.852441 0.117029 SUCCESS   6
000001111    4    7    6    6    4    6    1    9  8.883872 0.352187 SUCCESS   7
000010001    4    3    4    4    1    7    9    3  9.704727 0.286365 SUCCESS   8
000010011    3    3    5    6    8    5    4    3  4.733259 0.785668 SUCCESS   9
000010101    2    7    4    4    4    3    3    6  4.931853 0.764834 SUCCESS  10
000010111    8    3    4   10    8    3    8    5 13.458153 0.097028 SUCCESS  11
000011001    5    4    7    5    4    2    7    5  3.998461 0.857262 SUCCESS  12
000011011    5    4    9    8    4    4    4    6  6.609972 0.579237 SUCCESS  13
000011101    2    6    4    7    5    6    4    4  3.730360 0.880595 SUCCESS  14
000011111    3    8    5    2    4    4    3    6  5.891724 0.659359 SUCCESS  15
000100011    5    6    9    5    2    5    8    4  7.880973 0.445183 SUCCESS  16
000100101    4    6    4    4    5    9    7    6  5.607072 0.691151 SUCCESS  17
000100111    2    6    2    8   10    5    3    4 12.316238 0.137642 SUCCESS  18
000101001    3    5    5    2    5    5    5    4  2.657952 0.953958 SUCCESS  19
000101011    5    5    6    3    4    3    3    1  5.822216 0.667139 SUCCESS  20
000101101    8    6    7    4    4    5    4    3  4.534665 0.805955 SUCCESS  21
000101111   10    2    4    3    5    4    7    4  9.506133 0.301412 SUCCESS  22
000110011    6    3    8    3    3    3    6    4  5.736158 0.676758 SUCCESS  23
000110101    2    1    8    4    5    3    3    3  9.367118 0.312279 SUCCESS  24
000110111    6    5   10   10    3    4    5    6 12.610819 0.125960 SUCCESS  25
000111001    4    4    8    8    5    5    7    7  6.411378 0.601254 SUCCESS  26
000111011    6    7    5    7    8    4    2    7  7.146175 0.520947 SUCCESS  27
000111101    5    3    3    5    9    9    4    4  9.039438 0.338980 SUCCESS  28
000111111    6    7    6    2    4    3   11    4 12.273209 0.139424 SUCCESS  29
001000011    4    3    5    5    6    2    7    6  4.154027 0.842966 SUCCESS  30
001000101    5    5    2    3    2    4    4    2  6.288912 0.614904 SUCCESS  31
001000111    8    5    6    5    3    6    4    4  3.687331 0.884175 SUCCESS  32
001001011    6    5    3    1    5    7    4    2  7.050188 0.531228 SUCCESS  33
001001101    9    7    6    3    3    5    6    6  6.878074 0.549843 SUCCESS  34
001001111    1    3    4    4   10    5    4   10 15.550009 0.049293 SUCCESS  35
001010011    7    6    3    5    7    5    3    2  5.425028 0.711331 SUCCESS  36
001010101    2    8    3    2    4    3    4    9 10.975728 0.203078 SUCCESS  37
001010111    5    3    7    5    5    4    4    5  2.035691 0.979898 SUCCESS  38
001011011    6    7    3    4    4    2    5    4  4.197055 0.838921 SUCCESS  39
001011101    5    5    4    5    3    7    8    2  5.693130 0.681562 SUCCESS  40
001011111    9    2    2    2    4    3    4    2 11.641018 0.167954 SUCCESS  41
001100101    3    6    7    3    3    4    5    4  3.773388 0.876968 SUCCESS  42
001100111    3    3    7    4    1    7    8    6  9.082466 0.335387 SUCCESS  43
001101011    2    7    6    4    7    6    3    1  8.278161 0.406781 SUCCESS  44
001101101    4    3    4    3    4    4    4    5  2.277314 0.971308 SUCCESS  45
001101111    7    5    6    6    7    6    6    5  3.022041 0.932967 SUCCESS  46
001110101    1    7    2    4    3    5    6    6  7.318290 0.502713 SUCCESS  47
001110111    3    8    4    7    6    5    3    6  5.226434 0.733123 SUCCESS  48
001111011    5    3    6    6   10    7    5    3  8.572742 0.379609 SUCCESS  49
001111101    6    3    3    5    5    8    3    6  4.845796 0.773923 SUCCESS  50
001111111    7    5    8    6    2    3    9    2 11.157773 0.192919 SUCCESS  51
010000011    3    6    4   11    2    7    4    6 12.273209 0.139424 SUCCESS  52
010000111    5    4    6    6    6    2    4    4  3.038591 0.931912 SUCCESS  53
010001011    5    5    2    3    6    2    5    1  7.672449 0.466102 SUCCESS  54
010001111    5    3    4    2    6    5    5    6  3.194156 0.921589 SUCCESS  55
010010011    6    6    8    5    2    4    2   12 17.046083 0.029633 SUCCESS  56
010010111    6    4    6    2    3    8    4    1  8.589291 0.378117 SUCCESS  57
010011011    7    8    4    3    3    3    6    5  5.693130 0.681562 SUCCESS  58
010011111    4    2    5    5    9    5    7    9 10.111845 0.257263 SUCCESS  59
010100011    4    5    2    2    5    8    5    7  6.696029 0.569755 SUCCESS  60
010100111    4    6    3    4    8    5    7    3  5.113897 0.745336 SUCCESS  61
010101011    4    7    6    1    6    3    4    9  9.350568 0.313591 SUCCESS  62
010101111    4    2    5    3   10    5    4    7  9.350568 0.313591 SUCCESS  63
010110011    7    4    4    4    4   10    9    2 12.541311 0.128637 SUCCESS  64
010110111    4    7    4    4    6    2    5    3  4.197055 0.838921 SUCCESS  65
010111011    5    6    2    7    3    4    9    3  8.235132 0.410845 SUCCESS  66
010111111    7    3    0    2    7    3   10    6 16.016705 0.042142 SUCCESS  67
011000111    3    3    5    7   10    3    3    4  9.661699 0.289577 SUCCESS  68
011001111    8    5    4    2    2    7   10    2 14.010906 0.081482 SUCCESS  69
011010111    6    5    7    4    7    6    3    2  5.113897 0.745336 SUCCESS  70
011011111    6    5    4    3    8    3    6   11 12.230180 0.141226 SUCCESS  71
011101111    2    9    4    8    9    6    7    4 12.610819 0.125960 SUCCESS  72
011111111    7    4    6    5    5    4    9    3  5.918203 0.656394 SUCCESS  73
100000000    2    3    4    3    2    3    3    2  8.337739 0.401193 SUCCESS  74
100010000    2    3    2    3    3    4    5    4  6.020810 0.644901 SUCCESS  75
100100000    3    8    7   10    4    2    3    1 15.169371 0.055935 SUCCESS  76
100101000    5    4    7    4    5    3    1    8  7.275261 0.507246 SUCCESS  77
100110000    5    3    7   12    3    2    8    5 17.046083 0.029633 SUCCESS  78
100111000    3    4    5    4    7    7    8    2  6.808566 0.557421 SUCCESS  79
101000000    1    6    4    5    3    4    4    6  4.931853 0.764834 SUCCESS  80
101000100    3    4    3    6    3   12    6    3 14.434573 0.071118 SUCCESS  81
101001000    4    3    3    6    3    5    5    2  4.395649 0.819780 SUCCESS  82
101001100    4    6    5    7    1    1    2    7 10.439525 0.235521 SUCCESS  83
101010000    4    4    7    8    5    8    5    5  5.451507 0.708406 SUCCESS  84
101010100    6    3    1    4    4    3    6    4  5.666651 0.684515 SUCCESS  85
101011000    6    5    6    3    2    3    5    3  4.508186 0.808614 SUCCESS  86
101011100    5    6    9    3    4    3    2    5  7.275261 0.507246 SUCCESS  87
101100000    4    4    6    8    3    5    2    3  5.891724 0.659359 SUCCESS  88
101100100    3    5    5    6    3    5    3    2  4.240084 0.834839 SUCCESS  89
101101000    4    4    6    6    6    6    4    6  1.837097 0.985605 SUCCESS  90
101101100    1    7    6    5    4    3    2    3  7.784986 0.454750 SUCCESS  91
101110000    7    4    4    4    6    4    4    5  2.035691 0.979898 SUCCESS  92
101110100    5    2    5    2    0    2    2    3 12.729975 0.121484 SUCCESS  93
