		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 415.023438	M = 212500	N = 8	m = 9	n = 1700000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  403  421  391  426  430  425  395  414  3.996695 0.857422 SUCCESS   0
000000011  409  405  423  402  418  418  408  410  1.152051 0.997093 SUCCESS   1
000000101  402  423  413  439  470  443  417  396 12.418713 0.133477 SUCCESS   2
000000111  386  389  416  423  433  415  382  389  9.158891 0.329070 SUCCESS   3
000001001  404  434  429  446  402  422  458  456 13.409969 0.098501 SUCCESS   4
000001011  400  430  424  424  433  437  433  399  4.977320 0.759997 SUCCESS   5
000001101  448  441  420  377  405  407  412  459 13.309894 0.101623 SUCCESS   6
000001111  435  419  420  414  423  444  406  384  5.950859 0.652737 SUCCESS   7
000010001  444  412  425  461  423  427  406  430  8.909324 0.350003 SUCCESS   8
000010011  390  435  436  421  427  395  428  417  5.526725 0.700077 SUCCESS   9
000010101  427  441  418  424  421  423  424  431  3.346552 0.910767 SUCCESS  10
000010111  401  414  419  449  447  402  398  409  7.192655 0.515997 SUCCESS  11
000011001  422  430  411  425  416  429  429  376  5.739843 0.676347 SUCCESS  12
000011011  448  407  409  434  418  438  432  454  9.700429 0.286685 SUCCESS  13
000011101  388  389  444  434  405  383  401  397 10.603409 0.225199 SUCCESS  14
000011111  433  421  457  417  414  438  409  434  7.601525 0.473329 SUCCESS  15
000100011  424  419  401  426  404  432  418  428  2.493416 0.962037 SUCCESS  16
000100101  409  392  427  407  370  383  427  410  9.957316 0.268035 SUCCESS  17
000100111  381  444  413  416  436  392  428  420  7.889019 0.444386 SUCCESS  18
000101001  417  435  425  408  403  413  401  413  2.246031 0.972525 SUCCESS  19
000101011  392  422  402  437  403  436  429  429  5.499194 0.703129 SUCCESS  20
000101101  423  437  398  422  435  402  418  429  4.131855 0.845035 SUCCESS  21
000101111  423  424  399  419  464  399  419  423  7.854440 0.447817 SUCCESS  22
000110011  434  421  420  416  428  455  445  365 13.928689 0.083643 SUCCESS  23
000110101  396  419  400  391  402  378  391  415  8.219152 0.412361 SUCCESS  24
000110111  423  397  448  442  417  439  435  449 10.805780 0.212949 SUCCESS  25
000111001  441  394  410  406  430  422  415  416  3.731630 0.880489 SUCCESS  26
000111011  444  382  445  440  405  408  396  382 12.597487 0.126470 SUCCESS  27
000111101  440  449  373  431  413  454  388  402 15.507705 0.049993 SUCCESS  28
000111111  435  403  443  422  416  418  427  443  5.759196 0.674185 SUCCESS  29
001000011  431  422  423  421  429  406  439  410  3.190325 0.921852 SUCCESS  30
001000101  447  437  402  438  416  439  388  429  9.232059 0.323100 SUCCESS  31
001000111  425  429  361  425  376  432  388  433 15.395052 0.051904 SUCCESS  32
001001011  439  417  419  402  399  354  408  417 11.957508 0.153110 SUCCESS  33
001001101  416  414  449  382  353  384  441  416 19.269503 0.013483 SUCCESS  34
001001111  396  416  416  423  430  407  422  419  1.945336 0.982642 SUCCESS  35
001010011  382  407  429  402  448  430  421  410  7.208776 0.514284 SUCCESS  36
001010101  418  407  435  409  419  396  403  411  2.609380 0.956435 SUCCESS  37
001010111  396  398  423  442  402  429  411  417  4.555912 0.803814 SUCCESS  38
001011011  416  410  388  412  449  441  389  430  8.713340 0.367052 SUCCESS  39
001011101  402  425  401  442  406  411  383  380  8.830432 0.356802 SUCCESS  40
001011111  417  445  414  418  440  437  439  414  6.467476 0.595017 SUCCESS  41
001100101  393  413  422  403  434  417  425  419  2.895199 0.940761 SUCCESS  42
001100111  407  411  427  403  406  458  429  397  7.020813 0.534389 SUCCESS  43
001101011  387  427  404  368  430  393  381  418 12.802856 0.118815 SUCCESS  44
001101101  454  373  431  386  421  391  388  413 14.279967 0.074754 SUCCESS  45
001101111  442  430  435  409  390  421  428  406  5.729680 0.677482 SUCCESS  46
001110101  392  416  370  413  427  419  429  413  7.279413 0.506808 SUCCESS  47
001110111  354  389  434  407  389  391  428  398 16.293982 0.038360 SUCCESS  48
001111011  421  404  378  397  403  447  404  410  7.891745 0.444116 SUCCESS  49
001111101  396  421  438  403  411  416  483  443 16.175955 0.039930 SUCCESS  50
001111111  409  431  426  467  411  432  409  396  9.510441 0.301080 SUCCESS  51
010000011  441  423  432  401  383  443  420  405  7.866979 0.446571 SUCCESS  52
010000111  401  395  468  428  417  383  419  432 12.226349 0.141387 SUCCESS  53
010001011  407  437  388  437  442  412  416  424  6.427251 0.599488 SUCCESS  54
010001111  401  437  369  419  383  417  442  424 11.591822 0.170366 SUCCESS  55
010010011  430  406  411  402  393  383  455  422  9.093511 0.334469 SUCCESS  56
010010111  464  449  418  441  417  377  422  427 14.650286 0.066313 SUCCESS  57
